Company Name,Ticker Name,Exchange,Ticker Symbol,Division,"Type (Public, Subsidiary, Private, Defunct, Government)",Notes,"Base-
line",95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,"Previous
Year
%
Change"
FedEx [Consumer Shipping],FedEx Corporation,NYSE,FDX,No,Public,,85,85,86,82,80,83,83,82,82,82,83,84,86,84,85,84,85,83,82,85,82,82,82,82,81,79,80,1.3
Atmos Energy [Investor-Owned Energy Utilities],Atmos Energy Corporation,NYSE,ATO,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,75,78,78,81,83,85,83,82,77,80,80,78,78,0.0
Salt River Project [Municipal Energy Utilities],N/A,N/A,N/A,N/A,Government,, , , , , , , , , , , , , , , , , ,82,81,81,79,80,77,78,80,78,77,-1.3
CenterPoint Energy [Investor-Owned Energy Utilities],"CenterPoint Energy, Inc.",NYSE,CNP,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,73,72,74,75,78,78,80,82,84,81,81,76,79,82,80,77,-3.8
UPS [Consumer Shipping],"United Parcel Service, Inc.",NYSE,UPS,No,Public,,82,83,87,82,77,79,81,78,80,79,80,82,83,81,83,82,82,85,81,84,82,82,80,81,82,79,76,-3.8
NextEra Energy [Investor-Owned Energy Utilities],NextEra Energy Inc,NYSE,NEE,No,Public,,77,77,74,69,75,74,76,73,71,73,76,74,68,73,76,76,75,78,80,80,76,77,76,75,76,77,76,-1.3
Consolidated Edison [Investor-Owned Energy Utilities],"Consolidated Edison, Inc.",NYSE,ED,No,Public,,77,76,74,71,69,73,71,66,74,72,68,68,68,69,66,66,66,72,71,70,69,68,71,79,78,78,75,-3.8
Sempra Energy [Investor-Owned Energy Utilities],Sempra Energy,NYSE,SRE,No,Public,,NM,NM,NM,NM,NM,NM,NM,67,74,77,77,79,75,80,80,80,83,81,83,80,82,79,75,78,77,75,75,0.0
NiSource [Investor-Owned Energy Utilities],NiSource Inc.,NYSE,NI,No,Public,,NM,NM,NM,NM,NM,NM,NM,67,68,66,68,68,66,72,70,71,76,76,81,81,78,78,73,78,78,76,75,-1.3
Southern Company [Investor-Owned Energy Utilities],Southern Co,NYSE,SO,No,Public,,78,78,76,77,79,78,80,80,81,82,81,79,80,82,81,78,78,77,81,83,80,77,76,77,79,77,75,-2.6
Dominion Energy [Investor-Owned Energy Utilities],Dominion Energy Inc,NYSE,D,No,Public,,74,75,72,74,75,74,75,65,70,72,67,71,70,73,75,72,75,77,80,82,80,78,74,77,78,76,74,-2.6
WEC Energy [Investor-Owned Energy Utilities],WEC Energy Group Inc,NYSE,WEC,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,75,75,75,76,74,-2.6
Berkshire Hathaway Energy [Investor-Owned Energy Utilities],Berkshire Hathaway Inc. Class A,NYSE,BRK.A,Yes,Subsidiary,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,78,79,79,79,79,82,77,75,72,76,76,74,74,0.0
Touchstone Energy [Cooperative Energy Utilities],"Touchstone Exploration, Inc.",TSE,TXP,No,Public,, , , , , , , , , , , , , , , , , ,83,81,83,81,80,77,78,77,75,74,-1.3
Edison International [Investor-Owned Energy Utilities],Edison International,NYSE,EIX,No,Public,,76,74,77,78,75,73,78,60,66,69,71,75,78,74,75,77,75,75,76,77,77,76,74,76,76,75,74,-1.3
Xcel Energy [Investor-Owned Energy Utilities],Xcel Energy Inc,NASDAQ,XEL,No,Public,,NM,NM,NM,NM,NM,NM,NM,65,74,73,70,68,70,71,73,76,72,74,74,76,75,76,71,73,73,74,73,-1.4
CMS Energy [Investor-Owned Energy Utilities],CMS Energy Corporation,NYSE,CMS,No,Public,,79,76,77,75,73,76,76,75,76,78,71,74,72,73,74,70,75,77,75,79,78,76,71,74,75,73,73,0.0
Ameren [Investor-Owned Energy Utilities],Ameren Corp,NYSE,AEE,No,Public,,NM,NM,NM,NM,NM,NM,NM,78,76,77,74,75,74,57,64,68,71,71,78,74,76,76,72,74,76,75,73,-2.7
PPL [Investor-Owned Energy Utilities],PPL Corp,NYSE,PPL,No,Public,,NM,NM,NM,NM,NM,NM,NM,80,80,80,79,80,81,81,78,79,74,79,80,80,79,78,75,77,78,73,73,0.0
CPS Energy [Municipal Energy Utilities],N/A,N/A,N/A,N/A,Government,, , , , , , , , , , , , , , , , , ,79,79,80,75,77,72,73,75,72,72,0.0
U.S. Postal Service (Express & Priority Mail) [Consumer Shipping],N/A,N/A,N/A,N/A,Government,,69,70,74,70,75,75,75,73,73,75,77,74,75,77,75,76,77,79,81,77,73,75,74,75,76,74,72,-2.7
LA Department of Water & Power [Municipal Energy Utilities],N/A,N/A,N/A,N/A,Government,, , , , , , , , , , , , , , , , , ,66,69,71,69,68,67,69,70,69,72,4.3
Exelon [Investor-Owned Energy Utilities],Exelon Corporation,NASDAQ,EXC,No,Public,, , , , , , , ,66,69,71,71,71,70,68,69,70,72,73,70,74,75,69,70,71,72,73,72,-1.4
Entergy [Investor-Owned Energy Utilities],Entergy Corporation,NYSE,ETR,No,Public,,75,76,75,70,70,69,74,69,74,71,73,75,70,73,74,74,73,76,78,81,76,77,70,74,75,75,72,-4.0
Public Service Enterprise Group [Investor-Owned Energy Utilities],Public Service Enterprise Group Inc.,NYSE,PEG,No,Public,,79,80,77,75,74,73,78,75,76,76,73,74,75,73,75,76,78,78,77,74,70,72,68,72,72,72,72,0.0
DTE Energy [Investor-Owned Energy Utilities],Dignity Plc,LON,DTY,No,Public,,78,78,78,75,74,74,75,74,68,72,71,68,65,70,72,71,72,73,72,78,80,74,72,73,73,72,72,0.0
Duke Energy [Investor-Owned Energy Utilities],Duke Energy Corp,NYSE,DUK,No,Public,,82,80,83,79,78,80,79,79,79,77,78,78,80,79,76,77,76,77,79,75,77,72,70,73,73,70,71,1.4
FirstEnergy [Investor-Owned Energy Utilities],FirstEnergy Corp.,NYSE,FE,No,Public,,NM,NM,NM,NM,NM,NM,NM,72,77,76,69,71,75,76,77,74,75,78,76,75,73,79,69,73,73,72,71,-1.4
National Grid [Investor-Owned Energy Utilities],National Grid plc,NYSE,NGG,No,Public,, , , , , , , , ,73,75,69,72,65,71,71,71,70,NM,NM,NM,NM,NM,71,71,73,71,70,-1.4
Eversource Energy [Investor-Owned Energy Utilities],Eversource Energy,NYSE,ES,No,Public,,70,70,72,67,65,68,72,76,72,73,68,74,72,69,68,72,74,75,59,73,71,66,65,71,70,68,69,1.5
American Electric Power [Investor-Owned Energy Utilities],American Electric Power Company Inc,NYSE,AEP,No,Public,,78,80,82,77,78,77,79,76,75,74,75,74,75,73,76,74,73,72,79,75,77,74,70,72,73,68,68,0.0
PG&E [Investor-Owned Energy Utilities],PG&E Corporation,NYSE,PCG,No,Public,,73,71,72,71,68,71,73,49,58,66,66,67,68,72,70,73,70,67,69,74,70,71,72,74,70,70,63,-10.0
Pepco Holdings [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,Defunct,,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,72,73,71,70,69,68,70,54,69,71,73,72,69,#, , , ,N/A
Unicom [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,Private,,71,68,68,62,66,62,59,#, , , , , , , , , , , , , , , , , , , ,N/A
PECO Energy [Investor-Owned Energy Utilities],Exelon Corporation,NASDAQ,EXC,Yes,Subsidiary,Subsidiary of Exelon Corporation,NM,72,70,65,66,71,72,#, , , , , , , , , , , , , , , , , , , ,N/A
Niagara Mohawk Power [Investor-Owned Energy Utilities],National Grid plc,NYSE,NGG,Yes,Subsidiary,Acquired by National Grid plc in 2000,69,73,64,65,68,68,69,69,#, , , , , , , , , , , , , , , , , , ,N/A
