https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1676678400000,2023-02-18 00:00:00,BTC/USD,24580,24790,24553,24655,359932.18889305,14.59875031
1676674800000,2023-02-17 23:00:00,BTC/USD,24687,24745,24525,24582,1484911.87110528,60.40647104
1676671200000,2023-02-17 22:00:00,BTC/USD,24479,24745,24057,24692,5983256.59470096,242.31559188
1676667600000,2023-02-17 21:00:00,BTC/USD,24833,24841,24426,24495,4186570.1226108,170.91529384
1676664000000,2023-02-17 20:00:00,BTC/USD,24523,25023,24523,24834,10129406.0359551,407.88459515
1676660400000,2023-02-17 19:00:00,BTC/USD,24358,24553,24251,24525,3629622.4681365,147.99683866
1676656800000,2023-02-17 18:00:00,BTC/USD,24307,24412,24235,24357,1096077.45933621,45.00051153
1676653200000,2023-02-17 17:00:00,BTC/USD,24116,24516,24113,24309,22251625.19243181,915.36571609
1676649600000,2023-02-17 16:00:00,BTC/USD,24147,24356,23954,24119,17048968.694288358,706.86880444
1676646000000,2023-02-17 15:00:00,BTC/USD,23872,24299,23872,24144,10582675.50887952,438.31492333
1676642400000,2023-02-17 14:00:00,BTC/USD,23794,24250,23707,23872,10700647.70417984,448.25099297
1676638800000,2023-02-17 13:00:00,BTC/USD,23879,23888,23763,23794,2805415.8528732997,117.90433945
1676635200000,2023-02-17 12:00:00,BTC/USD,23797,23906,23781,23879,557366.7474865,23.3412935
1676631600000,2023-02-17 11:00:00,BTC/USD,23756,23836,23750,23795,385595.3347068,16.20488904
1676628000000,2023-02-17 10:00:00,BTC/USD,23746,23789,23685,23756,912539.11088292,38.41299507
1676624400000,2023-02-17 09:00:00,BTC/USD,23803,23868,23730,23736,736316.09544552,31.02106907
1676620800000,2023-02-17 08:00:00,BTC/USD,23639,23802,23542,23802,1541273.32200954,64.75394177
1676617200000,2023-02-17 07:00:00,BTC/USD,23664,23789,23641,23644,882335.79375696,37.31753484
1676613600000,2023-02-17 06:00:00,BTC/USD,23716,23758,23624,23664,601745.3633083199,25.42872563
1676610000000,2023-02-17 05:00:00,BTC/USD,23809,23809,23703,23711,771786.1671709201,32.54970972
1676606400000,2023-02-17 04:00:00,BTC/USD,23845,23881,23727,23806,582738.0051043,24.47861905
1676602800000,2023-02-17 03:00:00,BTC/USD,23781,23911,23773,23844,562374.676818,23.5855845
1676599200000,2023-02-17 02:00:00,BTC/USD,23859,23862,23772,23780,345792.1054392,14.54129964
1676595600000,2023-02-17 01:00:00,BTC/USD,23723,23858,23659,23858,728231.9438248,30.5235956
1676592000000,2023-02-17 00:00:00,BTC/USD,23525,23778,23350,23723,2609796.7219591397,110.01124318
1676588400000,2023-02-16 23:00:00,BTC/USD,24024,24104,23526,23529,10898663.58934353,463.20130857
1676584800000,2023-02-16 22:00:00,BTC/USD,24532,24553,24024,24024,20128823.09373936,837.86309914
1676581200000,2023-02-16 21:00:00,BTC/USD,24551,24562,24383,24531,3776288.3180080503,153.93943655
1676577600000,2023-02-16 20:00:00,BTC/USD,24869,24869,24443,24552,2184988.51002168,88.99431859
1676574000000,2023-02-16 19:00:00,BTC/USD,24954,24981,24823,24872,694560.8808412,27.92541335
1676570400000,2023-02-16 18:00:00,BTC/USD,24881,25023,24851,24954,1249806.93783798,50.08443287
1676566800000,2023-02-16 17:00:00,BTC/USD,24893,24938,24765,24878,1266129.09206224,50.89352408
1676563200000,2023-02-16 16:00:00,BTC/USD,25062,25234,24604,24892,15603468.09075096,626.84670138
1676559600000,2023-02-16 15:00:00,BTC/USD,24416,25066,24377,25066,7438379.41262408,296.75175188
1676556000000,2023-02-16 14:00:00,BTC/USD,24436,24492,24286,24424,2976052.74706536,121.84952289
1676552400000,2023-02-16 13:00:00,BTC/USD,24589,24666,24371,24432,2686302.28126752,109.95015886
1676548800000,2023-02-16 12:00:00,BTC/USD,24569,24614,24464,24588,825215.6992175999,33.5617252
1676545200000,2023-02-16 11:00:00,BTC/USD,24624,24624,24514,24572,666582.606132,27.127731
1676541600000,2023-02-16 10:00:00,BTC/USD,24653,24655,24616,24624,509267.36028960004,20.6817479
1676538000000,2023-02-16 09:00:00,BTC/USD,24586,24652,24566,24652,352189.66622668,14.28645409
1676534400000,2023-02-16 08:00:00,BTC/USD,24608,24658,24580,24586,1027460.64711562,41.79047617
1676530800000,2023-02-16 07:00:00,BTC/USD,24585,24622,24438,24608,6225049.49322176,252.96852622
1676527200000,2023-02-16 06:00:00,BTC/USD,24680,24731,24560,24584,2452914.9371524,99.77688485
1676523600000,2023-02-16 05:00:00,BTC/USD,24643,24713,24611,24680,1118442.5737188,45.31777041
1676520000000,2023-02-16 04:00:00,BTC/USD,24716,24738,24640,24645,8257674.733073699,335.06491106
1676516400000,2023-02-16 03:00:00,BTC/USD,24681,24742,24665,24716,1100627.77854676,44.53098311
1676512800000,2023-02-16 02:00:00,BTC/USD,24612,24723,24605,24681,607606.45693452,24.61838892
1676509200000,2023-02-16 01:00:00,BTC/USD,24577,24665,24557,24619,1599585.2775091,64.9736089
1676505600000,2023-02-16 00:00:00,BTC/USD,24325,24867,24277,24571,19876825.75285744,808.95469264
1676502000000,2023-02-15 23:00:00,BTC/USD,24158,24353,24157,24318,2686461.8171403604,110.47215302000001
1676498400000,2023-02-15 22:00:00,BTC/USD,24182,24393,24112,24162,4595393.00324112,190.19091976
1676494800000,2023-02-15 21:00:00,BTC/USD,24153,24260,24026,24176,3254339.57355424,134.61033974
1676491200000,2023-02-15 20:00:00,BTC/USD,23315,24321,23298,24136,21221118.72281408,879.23097128
1676487600000,2023-02-15 19:00:00,BTC/USD,22982,23340,22952,23314,4186128.17687462,179.55426683
1676484000000,2023-02-15 18:00:00,BTC/USD,22809,23041,22780,22981,2030644.52078061,88.36188681
1676480400000,2023-02-15 17:00:00,BTC/USD,22768,22831,22756,22795,256828.91643115,11.26689697
1676476800000,2023-02-15 16:00:00,BTC/USD,22813,22940,22756,22766,1353632.5909645401,59.45851669
1676473200000,2023-02-15 15:00:00,BTC/USD,22684,22885,22666,22818,963051.48986544,42.20578008
1676469600000,2023-02-15 14:00:00,BTC/USD,22691,22789,22623,22683,1458082.54073787,64.28085089
1676466000000,2023-02-15 13:00:00,BTC/USD,22775,22782,22684,22692,2255647.781646,99.4027755
1676462400000,2023-02-15 12:00:00,BTC/USD,22452,22919,22452,22773,5086805.76697452,223.37003324
1676458800000,2023-02-15 11:00:00,BTC/USD,22239,22492,22233,22448,3384379.54060032,150.76530384
1676455200000,2023-02-15 10:00:00,BTC/USD,22170,22253,22156,22246,229232.52085174,10.30443769
1676451600000,2023-02-15 09:00:00,BTC/USD,22100,22189,22095,22171,297940.94882142,13.43831802
1676448000000,2023-02-15 08:00:00,BTC/USD,22106,22124,22091,22099,428528.45118391,19.39130509
1676444400000,2023-02-15 07:00:00,BTC/USD,22116,22168,22099,22112,380822.02876064,17.22241447
1676440800000,2023-02-15 06:00:00,BTC/USD,22133,22155,22115,22115,141836.40330435,6.41358369
1676437200000,2023-02-15 05:00:00,BTC/USD,22082,22140,22082,22134,481960.34281122,21.77466083
1676433600000,2023-02-15 04:00:00,BTC/USD,22105,22115,22082,22082,172684.71990238,7.82015759
1676430000000,2023-02-15 03:00:00,BTC/USD,22077,22139,22077,22105,102649.17793985001,4.64370857
1676426400000,2023-02-15 02:00:00,BTC/USD,22113,22125,22063,22083,77793.80778612,3.52279164
1676422800000,2023-02-15 01:00:00,BTC/USD,22146,22160,22105,22105,321504.79336904996,14.54443761
1676419200000,2023-02-15 00:00:00,BTC/USD,22197,22197,22120,22144,478833.16027264,21.62360731
1676415600000,2023-02-14 23:00:00,BTC/USD,22183,22253,22172,22198,299660.34358832,13.49942984
1676412000000,2023-02-14 22:00:00,BTC/USD,22248,22248,22156,22183,638350.54228232,28.77656504
1676408400000,2023-02-14 21:00:00,BTC/USD,22254,22280,22130,22248,2675543.15468664,120.25994043
1676404800000,2023-02-14 20:00:00,BTC/USD,22217,22256,22179,22256,442855.19049199997,19.89823825
1676401200000,2023-02-14 19:00:00,BTC/USD,22123,22243,22080,22217,509425.51952994,22.92953682
1676397600000,2023-02-14 18:00:00,BTC/USD,22057,22180,22053,22123,709983.61926399,32.09255613
1676394000000,2023-02-14 17:00:00,BTC/USD,22014,22086,22013,22057,379569.29063375,17.20856375
1676390400000,2023-02-14 16:00:00,BTC/USD,22047,22130,21942,22014,977657.9786271,44.41073765
1676386800000,2023-02-14 15:00:00,BTC/USD,22253,22339,21880,22048,5067382.12942624,229.83409513
1676383200000,2023-02-14 14:00:00,BTC/USD,21725,22254,21577,22251,8556241.023208471,384.53287597
1676379600000,2023-02-14 13:00:00,BTC/USD,21854,21937,21555,21724,7830887.527535921,360.47171458
1676376000000,2023-02-14 12:00:00,BTC/USD,21811,21887,21797,21855,551478.12785715,25.23349933
1676372400000,2023-02-14 11:00:00,BTC/USD,21811,21815,21786,21810,89753.98875510001,4.11526771
1676368800000,2023-02-14 10:00:00,BTC/USD,21824,21838,21792,21811,254778.85473363998,11.68120924
1676365200000,2023-02-14 09:00:00,BTC/USD,21693,21875,21692,21821,867995.68082898,39.77799738
1676361600000,2023-02-14 08:00:00,BTC/USD,21767,21773,21669,21693,368237.04715728,16.97492496
1676358000000,2023-02-14 07:00:00,BTC/USD,21742,21784,21741,21767,151174.0831214,6.9451042
1676354400000,2023-02-14 06:00:00,BTC/USD,21719,21761,21717,21743,218855.42128853,10.06555771
1676350800000,2023-02-14 05:00:00,BTC/USD,21707,21730,21704,21719,69919.54948727001,3.21928033
1676347200000,2023-02-14 04:00:00,BTC/USD,21695,21729,21688,21706,264736.3509923,12.19645955
1676343600000,2023-02-14 03:00:00,BTC/USD,21711,21741,21694,21695,95903.9207656,4.4205540800000005
1676340000000,2023-02-14 02:00:00,BTC/USD,21698,21729,21697,21711,68960.32016124,3.17628484
