,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,1050,0.81,0.95,0.07,0.0,,0.0,32.248566172492154,0,,0,0.0
1,84,0.1,0.19,0.25,0.07911348977631394,,95.21772250227471,32.248566172492154,21,,55,1.5714285714285714
2,665,0.03,0.98,0.52,0.04085803456852699,,24.791868024924018,32.248566172492154,18,,3,0.08571428571428572
3,422,0.98,0.19,0.13,0.0,,0.0,32.248566172492154,0,,0,0.0
4,1060,0.68,0.87,0.36,0.0,,0.0,32.248566172492154,0,,0,0.0
5,804,0.14,0.95,0.42,0.04085803456852699,,56.00801226223449,32.248566172492154,18,,51,1.457142857142857
6,216,0.83,0.99,0.11,0.0,,0.0,32.248566172492154,0,,0,0.0
7,357,0.2,0.16,0.26,0.0,,8.152330330650713,32.248566172492154,15,,365,10.428571428571429
8,214,0.75,0.67,0.17,0.0,,0.0,32.248566172492154,0,,0,0.0
9,63,0.7,0.69,0.8,0.0,,0.0,32.248566172492154,0,,0,0.0
10,162,0.74,0.51,0.6,0.0,,0.0,32.248566172492154,0,,0,0.0
11,40,0.38,0.24,0.11,0.0,,0.19869888475836417,32.248566172492154,1,,2,0.05714285714285714
12,642,0.27,0.35,0.87,0.024988582240490498,,8.14818364038844,32.248566172492154,17,,11,0.3142857142857143
13,667,0.23,0.29,0.96,0.04085803456852699,,10.889040240212822,32.248566172492154,17,,17,0.4857142857142857
14,304,0.2,0.36,0.69,0.04085803456852699,,106.60993357791172,32.248566172492154,19,,9,0.2571428571428571
15,74,0.09,0.31,0.9,0.04085803456852699,,39.034370653058446,32.248566172492154,18,,3,0.08571428571428572
16,340,0.22,0.45,0.81,0.0005584484756151475,,14.677750704958926,32.248566172492154,16,,5,0.14285714285714285
17,579,0.79,0.42,0.09,0.0,,0.0,32.248566172492154,0,,0,0.0
18,370,0.22,0.66,0.58,0.04085803456852699,,49.369884628783375,32.248566172492154,18,,1,0.02857142857142857
19,104,0.59,0.31,0.56,0.0,,0.0,32.248566172492154,0,,0,0.0
20,473,0.39,0.11,0.76,0.0,,1.2266393263012083,32.248566172492154,3,,4,0.11428571428571428
21,73,0.09,0.72,0.96,0.04085803456852721,,29.496277915632753,32.248566172492154,18,,1,0.02857142857142857
22,557,0.39,0.88,0.4,-0.07311306901615267,,2.3400227667935134,32.248566172492154,11,,27,0.7714285714285715
23,125,0.16,0.4,0.38,0.04085803456852699,,54.905890721905976,32.248566172492154,18,,3,0.08571428571428572
24,846,0.0,0.89,0.61,0.04085803456852721,,41.597327067874076,32.248566172492154,18,,3,0.08571428571428572
25,376,0.27,0.3,0.29,0.04085803456852721,,5.003313338466259,32.248566172492154,17,,231,6.6
26,981,0.96,0.07,0.91,0.0,,0.0,32.248566172492154,0,,0,0.0
