,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,877,0.75,0.61,0.85,0.0,,0.0,32.248566172492154,0,
1,301,0.71,0.91,0.28,0.0,,0.0,32.248566172492154,0,
2,555,0.33,0.92,0.04,0.0,,0.20855231735998103,32.248566172492154,5,
3,1068,0.04,0.4,0.54,0.04085803456852699,,42.80446598827366,32.248566172492154,18,
4,896,0.3,0.53,0.3,0.0,,20.09941058793395,32.248566172492154,9,
5,47,0.44,0.19,0.29,0.0,,0.0,32.248566172492154,0,
6,1082,0.34,0.32,0.32,0.0,,0.3308032247847601,32.248566172492154,4,
7,619,0.01,0.91,0.28,0.04085803456852699,,21.3676451760812,32.248566172492154,19,
8,317,0.52,0.27,0.79,0.0,,0.0,32.248566172492154,0,
9,306,0.01,0.16,0.22,0.04085803456852699,,24.81298910742565,32.248566172492154,19,
10,965,0.46,0.46,0.92,-0.07311306901615267,,2.68692626147477,32.248566172492154,11,
11,991,0.42,0.64,0.97,-0.06417479730658238,,2.377765562731895,32.248566172492154,10,
12,310,0.42,0.01,0.15,0.0,,0.21814552557531797,32.248566172492154,1,
13,1060,0.92,0.04,0.31,0.0,,0.0,32.248566172492154,0,
14,1074,0.13,0.24,0.28,0.04085803456852699,,24.61929764377882,32.248566172492154,18,
15,231,0.27,0.73,0.22,0.0,,3.9352757220077077,32.248566172492154,7,
16,1065,0.69,0.92,0.0,0.0,,0.0,32.248566172492154,0,
17,1048,0.73,0.17,0.01,0.0,,0.0,32.248566172492154,0,
18,800,0.78,0.01,0.12,0.0,,0.0,32.248566172492154,0,
19,127,0.19,0.24,0.03,0.0,,1.5960035850474315,32.248566172492154,11,
20,667,0.55,0.01,0.89,0.0,,0.0,32.248566172492154,0,
21,150,0.71,0.94,0.07,0.0,,0.0,32.248566172492154,0,
22,357,0.88,0.75,0.11,0.0,,0.0,32.248566172492154,0,
23,266,0.93,0.13,0.53,0.0,,0.0,32.248566172492154,0,
24,261,0.01,0.72,0.8,0.04085803456852699,,28.713263381848073,32.248566172492154,18,
25,225,0.64,0.92,0.87,0.0,,0.0,32.248566172492154,0,
26,768,0.41,0.13,0.39,0.0,,0.39805449174646546,32.248566172492154,2,
27,110,0.92,0.99,0.92,0.0,,0.0,32.248566172492154,0,
28,375,0.26,0.49,0.88,0.04213631195208656,,52.510989237063484,32.248566172492154,19,
29,114,0.39,0.87,0.44,0.0,,4.710966542750929,32.248566172492154,8,
30,1016,0.74,0.6,0.19,0.0,,0.0,32.248566172492154,0,
31,978,0.31,0.84,0.24,0.0,,0.30717674697044406,32.248566172492154,5,
32,398,0.71,0.01,0.36,0.0,,0.0,32.248566172492154,0,
33,899,0.45,0.77,0.01,0.0,,0.3502306485860289,32.248566172492154,2,
34,15,0.59,0.62,0.84,0.0,,0.0,32.248566172492154,0,
35,584,0.85,0.78,0.14,0.0,,0.0,32.248566172492154,0,
36,950,0.18,0.97,0.07,0.0,,1.127478975923974,32.248566172492154,14,
37,273,0.71,0.62,0.9,0.0,,0.0,32.248566172492154,0,
38,1044,0.02,0.67,0.88,0.04085803456852699,,42.047285464098074,32.248566172492154,18,
39,502,0.41,0.11,0.53,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,
40,114,0.53,0.2,0.63,0.0,,0.0,32.248566172492154,0,
41,806,0.36,0.49,0.61,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,
42,309,0.7,0.76,0.68,0.0,,0.0,32.248566172492154,0,
43,993,0.98,0.66,0.29,0.0,,0.0,32.248566172492154,0,
44,1082,0.26,0.03,0.69,0.07911348977631416,,54.61085972850679,32.248566172492154,19,
45,1038,0.98,0.76,0.09,0.0,,0.0,32.248566172492154,0,
46,805,0.07,0.11,0.4,0.04085803456852699,,25.411201981991134,32.248566172492154,18,
47,459,0.55,0.0,0.13,0.0,,0.0,32.248566172492154,0,
48,877,0.05,0.18,0.52,0.04085803456852699,,41.1605118265553,32.248566172492154,18,
49,369,0.8,0.95,0.94,0.0,,0.0,32.248566172492154,0,
50,162,0.54,0.41,0.55,0.0,,0.0,32.248566172492154,0,
51,723,0.16,0.87,0.88,0.04085803456852699,,47.29930636065316,32.248566172492154,18,
52,384,0.52,0.28,0.3,0.0,,0.0,32.248566172492154,0,
53,357,0.04,0.33,0.7,0.04085803456852699,,29.53416149068323,32.248566172492154,18,
54,915,0.66,0.69,0.68,0.0,,0.0,32.248566172492154,0,
55,770,0.92,0.42,0.14,0.0,,0.0,32.248566172492154,0,
56,765,0.45,0.05,0.09,0.0,,0.1866053085483952,32.248566172492154,1,
57,972,0.15,0.44,0.68,0.04085803456852699,,46.6827872509651,32.248566172492154,18,
58,973,0.98,0.83,0.83,0.0,,0.0,32.248566172492154,0,
59,194,0.5,0.68,0.19,0.0,,0.0,32.248566172492154,0,
60,402,0.67,0.5,0.63,0.0,,0.0,32.248566172492154,0,
61,822,0.23,0.44,0.46,0.0451736861640577,,44.02820281751566,32.248566172492154,19,
62,1090,0.25,0.03,0.08,0.0,,1.6087465939701793,32.248566172492154,10,
63,988,0.17,0.24,0.32,0.04085803456852699,,20.50869975314896,32.248566172492154,19,
64,488,0.82,0.77,0.95,0.0,,0.0,32.248566172492154,0,
65,479,0.5,0.27,0.85,0.0,,4.710966542750929,32.248566172492154,8,
66,585,0.82,0.62,0.99,0.0,,0.0,32.248566172492154,0,
67,555,0.96,0.26,0.37,0.0,,0.0,32.248566172492154,0,
68,964,0.12,0.36,0.3,0.04085803456852721,,24.68289472410457,32.248566172492154,18,
69,566,0.74,0.55,0.62,0.0,,0.0,32.248566172492154,0,
70,744,0.08,0.01,0.94,0.04085803456852699,,32.16243928764166,32.248566172492154,18,
71,79,0.65,0.6,0.98,0.0,,0.0,32.248566172492154,0,
72,728,0.21,0.91,0.91,0.04085803456852721,,50.616967660646786,32.248566172492154,19,
73,127,0.16,0.76,0.27,0.04085803456852699,,37.03962774827775,32.248566172492154,18,
74,797,0.34,0.63,0.77,0.04085803456852721,,67.86195671053885,32.248566172492154,18,
75,215,0.3,0.9,0.57,0.04085803456852721,,132.58695652173913,32.248566172492154,18,
76,1046,0.5,0.02,0.59,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,
77,804,0.08,0.28,0.52,0.04085803456852699,,26.665362593814876,32.248566172492154,18,
78,923,0.25,0.49,0.12,0.0,,1.7224495566322466,32.248566172492154,10,
79,1077,0.54,0.14,0.65,0.0,,0.0,32.248566172492154,0,
80,185,0.69,0.68,0.1,0.0,,0.0,32.248566172492154,0,
81,1055,0.29,0.46,0.81,0.04085803456852699,,60.97055264219444,32.248566172492154,18,
82,1017,0.16,0.61,0.96,0.04085803456852699,,47.29930636065316,32.248566172492154,18,
83,627,0.47,0.15,0.81,0.0,,4.710966542750929,32.248566172492154,8,
84,569,0.17,0.19,0.81,0.04085803456852699,,47.29930636065316,32.248566172492154,18,
85,520,0.78,0.54,0.13,0.0,,0.0,32.248566172492154,0,
86,648,0.32,0.28,0.34,-0.07311306901615267,,1.5400175997515313,32.248566172492154,10,
87,108,0.08,0.24,0.98,0.04085803456852699,,30.312101910828027,32.248566172492154,18,
88,975,0.8,0.97,0.25,0.0,,0.0,32.248566172492154,0,
89,248,0.67,0.71,0.14,0.0,,0.0,32.248566172492154,0,
90,75,0.59,0.58,0.12,0.0,,0.0,32.248566172492154,0,
91,819,0.5,0.65,0.84,-0.07311306901615267,,3.0965983900268332,32.248566172492154,11,
92,507,0.67,0.21,0.56,0.0,,0.0,32.248566172492154,0,
93,674,0.28,0.61,0.31,0.04085803456852699,,52.04645859255949,32.248566172492154,18,
94,915,0.75,0.12,0.55,0.0,,0.0,32.248566172492154,0,
95,35,0.91,0.42,0.07,0.0,,0.0,32.248566172492154,0,
96,706,0.85,0.76,0.12,0.0,,0.0,32.248566172492154,0,
97,620,0.79,0.91,0.84,0.0,,0.0,32.248566172492154,0,
98,751,0.33,0.16,0.21,0.0,,0.8284532790530459,32.248566172492154,6,
99,412,0.26,0.31,0.83,0.04213631195208656,,52.510989237063484,32.248566172492154,19,
