,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,379,0.71,0.56,0.63,0.0,0.0,0.0,8.866619193689745,0,
1,1094,0.57,0.41,0.32,0.0,0.0,0.0,8.866619193689745,0,
2,712,0.47,0.46,0.1,0.0,0.011356700871177558,0.04682487725040918,8.866619193689745,1,0.03892494720807615
3,384,0.37,0.33,0.85,0.33767203393734535,0.7511153134418397,39.298674422506856,8.866619193689745,11,0.11442611288034493
4,59,0.02,0.07,0.81,0.07093521696406935,0.8046186418234684,7.291139240506329,8.866619193689745,10,0.07979236172804567
5,1051,0.07,0.23,0.45,0.07093521696406935,0.7926008205070705,10.90700153156728,8.866619193689745,11,0.08779399220175521
6,1023,0.81,0.81,0.77,0.0,0.0,0.0,8.866619193689745,0,
7,588,0.65,0.77,0.49,0.0,0.0,0.0,8.866619193689745,0,
8,912,0.0,0.39,0.42,0.14461633283472874,0.805650419046021,7.355488442124621,8.866619193689745,11,0.0812415582473204
9,522,0.93,0.27,0.03,0.0,0.0,0.0,8.866619193689745,0,
10,879,0.25,0.75,0.81,0.20763302752293566,0.7907003520609686,12.220183486238533,8.866619193689745,11,0.08969989995169975
11,475,0.75,0.14,0.07,0.0,0.0,0.0,8.866619193689745,0,
12,583,0.13,0.68,0.36,0.07093521696406957,0.793243698810368,10.662129281857109,8.866619193689745,11,0.08652719183925943
13,583,0.06,0.31,0.0,0.03954163118133458,0.20841854965637419,0.6862838122064732,8.866619193689745,10,0.04170757670443595
14,94,0.47,0.54,0.61,0.0,0.0,0.0,8.866619193689745,0,
15,367,0.47,0.71,0.94,0.0,0.0,0.0,8.866619193689745,0,
16,718,0.53,0.55,0.19,0.0,0.0,0.0,8.866619193689745,0,
17,959,0.17,0.1,0.65,0.11173797739903035,0.7924248443277934,11.17040252698434,8.866619193689745,11,0.08806270818060036
18,619,0.95,0.87,0.84,0.0,0.0,0.0,8.866619193689745,0,
19,945,0.43,0.47,0.58,0.33767203393734535,0.7511153134418397,39.298674422506856,8.866619193689745,11,0.11563241696575224
20,340,0.97,0.1,0.24,0.0,0.0,0.0,8.866619193689745,0,
21,400,0.04,0.81,0.85,0.07093521696406935,0.8014734961325489,8.062893081761008,8.866619193689745,10,0.08144674259052322
22,37,0.13,0.32,0.22,0.07093521696406957,0.7321524455207815,7.631038602332255,8.866619193689745,10,0.08092557113823738
23,467,0.56,0.08,0.16,0.0,0.0,0.0,8.866619193689745,0,
24,220,0.98,0.44,0.15,0.0,0.0,0.0,8.866619193689745,0,
25,465,0.16,0.95,0.91,0.07093521696406957,0.7967363933065102,9.442028985507246,8.866619193689745,10,0.08422206642274911
26,324,0.2,0.38,0.75,0.09419783873649212,0.7928136810052363,10.978387364921032,8.866619193689745,11,0.0870019342882693
27,210,0.82,0.9,0.16,0.0,0.0,0.0,8.866619193689745,0,
28,841,0.42,0.1,0.68,0.33767203393734535,0.7897847115410561,15.595041576625224,8.866619193689745,11,0.09444935333739463
29,41,0.41,0.62,0.63,0.0,0.0,0.0,8.866619193689745,0,
30,445,0.49,0.78,0.28,0.0,0.0,0.0,8.866619193689745,0,
31,622,0.44,0.75,0.77,0.33767203393734535,0.7511153134418397,39.298674422506856,8.866619193689745,11,0.11442611288034493
32,726,0.38,0.64,0.63,0.3376720339373456,0.7893734132494004,14.835164835164836,8.866619193689745,11,0.09252718721343749
33,797,0.24,0.52,0.13,0.0,0.08779469839185848,1.0552003815682154,8.866619193689745,7,0.0901768670416324
34,899,0.94,0.97,0.87,0.0,0.0,0.0,8.866619193689745,0,
35,215,0.22,0.02,0.95,0.33767203393734535,0.789337222199986,14.697167755991284,8.866619193689745,11,0.09234383440201478
36,820,0.81,0.92,0.17,0.0,0.0,0.0,8.866619193689745,0,
37,102,0.93,0.99,0.49,0.0,0.0,0.0,8.866619193689745,0,
38,174,0.8,0.74,0.54,0.0,0.0,0.0,8.866619193689745,0,
39,199,0.87,0.82,0.42,0.0,0.0,0.0,8.866619193689745,0,
40,351,0.25,0.67,0.45,0.33767203393734535,0.7894260137669084,13.704081632653063,8.866619193689745,11,0.09098203947580705
41,334,0.19,0.2,0.94,0.07093521696406935,0.7947170909873684,10.16275466728639,8.866619193689745,11,0.08556965871297781
42,132,0.36,0.99,0.8,0.0,0.0,0.0,8.866619193689745,0,
43,243,0.99,0.13,0.15,0.0,0.0,0.0,8.866619193689745,0,
44,411,0.03,0.92,0.54,0.07093521696406957,0.8017102677417604,8.001635536583057,8.866619193689745,10,0.08131792498257409
45,1091,0.64,0.88,0.2,0.0,0.0,0.0,8.866619193689745,0,
46,744,0.2,0.7,0.43,0.07093521696406957,0.7929021410922745,10.890839368374527,8.866619193689745,11,0.08770640368608683
47,975,0.15,0.27,0.81,0.07633585289509748,0.7932329035509222,10.782848881896768,8.866619193689745,11,0.08744160837327258
48,830,0.25,0.32,0.79,0.1607760141093475,0.7914580725989189,11.707231040564375,8.866619193689745,11,0.08890842235621331
49,718,0.42,0.78,0.67,0.33767203393734535,0.7511153134418397,39.298674422506856,8.866619193689745,11,0.11442611288034493
50,681,0.25,0.52,0.06,0.0,0.08418019256449591,0.5670475600190266,8.866619193689745,5,0.05691872906886404
51,270,0.5,0.57,0.37,0.0,0.0,0.0,8.866619193689745,0,
52,767,0.69,0.64,0.44,0.0,0.0,0.0,8.866619193689745,0,
53,85,0.5,0.63,0.06,0.0,0.0,0.0,8.866619193689745,0,
54,878,0.14,0.77,0.21,0.33767203393734535,0.79617601399066,12.881441000709406,8.866619193689745,11,0.0893597050048463
55,258,0.08,0.65,0.56,0.07093521696406957,0.7987904957469667,8.802721088435373,8.866619193689745,10,0.08296619513051705
56,405,0.67,0.84,0.06,0.0,0.0,0.0,8.866619193689745,0,
57,723,0.06,0.72,0.55,0.07093521696406935,0.7941220524910345,10.399775327120548,8.866619193689745,11,0.08599627599109452
