,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,944,67,15,23,0.0,0.0,0.0,76.40482573726541,0,
1,104,22,84,88,0.0,0.0,0.0,76.40482573726541,0,
2,313,23,76,58,0.0,0.0,0.0,76.40482573726541,0,
3,962,82,49,90,0.0,0.0,0.0,76.40482573726541,0,
4,505,90,76,61,0.0,0.0,0.0,76.40482573726541,0,
5,232,32,0,35,0.0,0.0,0.0,76.40482573726541,0,
6,283,65,3,33,0.0,0.0,0.0,76.40482573726541,0,
7,172,95,22,46,0.0,0.0,0.0,76.40482573726541,0,
8,931,29,50,7,0.0,0.0,0.0,76.40482573726541,0,
9,438,88,17,21,0.0,0.0,0.0,76.40482573726541,0,
10,312,23,83,15,0.0,0.0,0.0,76.40482573726541,0,
11,534,16,58,75,0.0,0.0,0.0,76.40482573726541,0,
12,166,79,80,28,0.0,0.0,0.0,76.40482573726541,0,
13,876,64,6,31,0.0,0.0,0.0,76.40482573726541,0,
14,839,35,7,28,0.0,0.0,0.0,76.40482573726541,0,
15,929,15,29,46,0.0,0.0,0.0,76.40482573726541,0,
16,1082,74,1,76,0.0,0.0,0.0,76.40482573726541,0,
17,626,78,9,4,0.0,0.0,0.0,76.40482573726541,0,
18,424,8,47,19,0.0,0.0,0.0,76.40482573726541,0,
19,761,11,33,36,0.0,0.0,0.0,76.40482573726541,0,
20,830,7,88,11,0.0,0.0,0.0,76.40482573726541,0,
21,923,31,76,21,0.0,0.0,0.0,76.40482573726541,0,
22,147,52,88,93,0.0,0.0,0.0,76.40482573726541,0,
23,892,90,81,95,0.0,0.0,0.0,76.40482573726541,0,
24,590,65,26,23,0.0,0.0,0.0,76.40482573726541,0,
25,215,97,74,24,0.0,0.0,0.0,76.40482573726541,0,
26,501,49,63,71,0.0,0.0,0.0,76.40482573726541,0,
27,972,44,54,81,0.0,0.0,0.0,76.40482573726541,0,
28,791,56,29,51,0.0,0.0,0.0,76.40482573726541,0,
29,550,9,69,55,0.0,0.0,0.0,76.40482573726541,0,
30,624,25,44,8,0.0,0.0,0.0,76.40482573726541,0,
31,896,64,2,10,0.0,0.0,0.0,76.40482573726541,0,
32,950,63,60,3,0.0,0.0,0.0,76.40482573726541,0,
33,274,57,40,26,0.0,0.0,0.0,76.40482573726541,0,
