,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,573,0.27,0.21,0.4,0.04085803456852699,,66.49040842680078,32.248566172492154,18,
1,973,0.63,0.15,0.71,0.0,,0.0,32.248566172492154,0,
2,679,0.38,0.38,0.99,-0.040993648871301636,,2.4614355522383855,32.248566172492154,10,
3,510,0.74,0.75,0.25,0.0,,0.0,32.248566172492154,0,
4,328,0.29,0.15,0.04,0.07911348977631394,,55.37614678899082,32.248566172492154,19,
5,403,0.64,0.64,0.16,0.0,,0.0,32.248566172492154,0,
6,387,0.75,0.13,0.58,0.0,,0.0,32.248566172492154,0,
7,869,0.85,0.73,0.94,0.0,,0.0,32.248566172492154,0,
8,204,0.36,0.49,0.39,-0.07311306901615267,,3.0965983900268332,32.248566172492154,11,
9,381,0.33,0.0,0.56,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,
10,29,0.99,0.87,0.81,0.0,,0.0,32.248566172492154,0,
11,439,0.69,0.77,0.31,0.0,,0.0,32.248566172492154,0,
12,1068,0.48,0.33,0.18,-0.07311306901615267,,2.7960217445021,32.248566172492154,11,
13,71,0.91,0.55,0.24,0.0,,0.0,32.248566172492154,0,
14,739,0.37,0.13,0.71,-0.07311306901615278,,2.257786613651425,32.248566172492154,10,
15,311,0.17,0.65,0.53,0.04085803456852699,,49.369884628783375,32.248566172492154,18,
16,722,0.82,0.7,0.78,0.0,,0.0,32.248566172492154,0,
17,584,0.01,0.8,0.91,0.04085803456852699,,30.16911706057727,32.248566172492154,18,
18,284,0.22,0.49,0.13,0.04213631195208656,,52.510989237063484,32.248566172492154,19,
19,898,0.08,0.49,0.16,0.04085803456852699,,42.65889225774022,32.248566172492154,18,
20,701,0.02,0.84,0.76,0.04085803456852699,,30.16995105125668,32.248566172492154,18,
21,577,0.26,0.91,0.76,0.04085803456852699,,57.60753457319981,32.248566172492154,18,
22,488,0.46,0.76,0.86,0.0,,4.710966542750929,32.248566172492154,8,
23,412,0.66,0.84,0.48,0.0,,0.0,32.248566172492154,0,
24,741,0.55,0.08,0.74,0.0,,0.0,32.248566172492154,0,
25,448,0.52,0.63,0.86,0.0,,0.0,32.248566172492154,0,
26,637,0.24,0.41,0.45,0.0451736861640577,,52.666950503264125,32.248566172492154,19,
27,437,0.22,0.83,0.59,0.04085803456852699,,49.369884628783375,32.248566172492154,18,
28,926,0.82,0.83,0.44,0.0,,0.0,32.248566172492154,0,
29,1075,0.4,0.05,0.95,-0.07311306901615278,,2.257786613651425,32.248566172492154,10,
30,271,0.85,0.66,0.07,0.0,,0.0,32.248566172492154,0,
31,840,0.09,0.35,0.49,0.04085803456852699,,32.16243928764166,32.248566172492154,18,
32,1009,0.21,0.62,0.89,0.04085803456852721,,50.616967660646786,32.248566172492154,19,
33,276,0.13,0.29,0.0,0.04085803456852721,,42.791199002316056,32.248566172492154,18,
34,34,0.42,0.02,0.6,0.0,,0.0,32.248566172492154,0,
35,856,0.89,0.05,0.92,0.0,,0.0,32.248566172492154,0,
36,17,0.07,0.95,0.81,0.04085803456852721,,29.496277915632753,32.248566172492154,18,
37,600,0.89,0.89,0.16,0.0,,0.0,32.248566172492154,0,
38,736,0.37,0.77,0.98,-0.07311306901615278,,2.257786613651425,32.248566172492154,10,
39,1088,0.78,0.6,0.37,0.0,,0.0,32.248566172492154,0,
40,51,0.35,0.06,0.26,0.0,,4.710966542750929,32.248566172492154,8,
41,1047,0.83,0.39,0.23,0.0,,0.0,32.248566172492154,0,
42,1095,0.26,0.56,0.08,0.07911348977631416,,54.61085972850679,32.248566172492154,19,
43,213,0.71,0.89,0.37,0.0,,0.0,32.248566172492154,0,
44,514,0.89,0.98,0.54,0.0,,0.0,32.248566172492154,0,
45,90,0.68,0.06,0.87,0.0,,0.0,32.248566172492154,0,
46,383,0.68,0.57,0.56,0.0,,0.0,32.248566172492154,0,
47,852,0.49,0.86,0.15,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,
48,498,0.68,0.78,0.2,0.0,,0.0,32.248566172492154,0,
49,924,0.56,0.94,0.31,0.0,,0.0,32.248566172492154,0,
50,337,0.51,0.41,0.74,0.0,,0.0,32.248566172492154,0,
51,284,0.8,0.61,0.74,0.0,,0.0,32.248566172492154,0,
52,955,0.79,0.09,0.05,0.0,,0.0,32.248566172492154,0,
53,195,0.75,0.31,0.57,0.0,,0.0,32.248566172492154,0,
54,748,0.51,0.09,0.92,0.0,,4.710966542750929,32.248566172492154,8,
55,383,0.83,0.97,0.19,0.0,,0.0,32.248566172492154,0,
56,363,0.32,0.67,0.95,-0.07311306901615255,,1.5112382509194933,32.248566172492154,10,
57,967,0.75,0.57,0.12,0.0,,0.0,32.248566172492154,0,
58,1046,0.24,0.09,0.44,0.051163812033377276,,52.97452788757137,32.248566172492154,19,
59,94,0.36,0.46,0.41,0.0,,4.1454457153383695,32.248566172492154,8,
60,1076,0.8,0.96,0.87,0.0,,0.0,32.248566172492154,0,
61,852,0.5,0.25,0.89,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,
62,1019,0.75,0.46,0.59,0.0,,0.0,32.248566172492154,0,
63,547,0.62,0.12,0.53,0.0,,0.0,32.248566172492154,0,
64,753,0.11,0.65,0.68,0.04085803456852721,,45.288275394523744,32.248566172492154,18,
65,38,0.23,0.69,0.35,0.04085803456852721,,132.58695652173913,32.248566172492154,18,
66,820,0.37,0.66,0.8,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,
67,987,0.84,0.63,0.82,0.0,,0.0,32.248566172492154,0,
68,255,0.06,0.18,0.32,0.04085803456852699,,30.508377023753063,32.248566172492154,18,
69,515,0.23,0.53,0.87,0.06807404629153835,,53.842824436695246,32.248566172492154,19,
70,567,0.39,0.09,0.79,-0.07311306901615267,,2.68692626147477,32.248566172492154,11,
71,388,0.33,0.43,0.24,-0.07311306901615267,,1.6148936170212767,32.248566172492154,10,
72,205,0.51,0.98,0.22,0.0,,0.0,32.248566172492154,0,
73,677,0.22,0.34,0.79,0.0451736861640577,,52.666950503264125,32.248566172492154,19,
74,820,0.77,0.99,0.32,0.0,,0.0,32.248566172492154,0,
75,277,0.39,0.95,0.66,-0.07311306901615267,,3.0965983900268332,32.248566172492154,11,
