,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,1050,0.72,0.69,0.67,0.0,,0.0,32.248566172492154,0,,0,0.0
1,444,0.91,0.96,0.83,0.0,,0.0,32.248566172492154,0,,0,0.0
2,584,0.05,0.27,0.41,0.04020158165885479,,2.9628342032489963,32.248566172492154,18,,57,1.6285714285714286
3,790,0.72,0.51,0.79,0.0,,0.0,32.248566172492154,0,,0,0.0
4,59,0.85,0.14,0.95,0.0,,0.0,32.248566172492154,0,,0,0.0
5,137,0.61,0.83,0.98,0.0,,0.0,32.248566172492154,0,,0,0.0
6,819,0.26,0.96,0.83,0.04085803456852699,,116.69513794902822,32.248566172492154,19,,3,0.08571428571428572
7,346,0.29,0.03,0.12,0.09793577981651369,,-137.04599062215593,32.248566172492154,20,,192,5.485714285714286
8,937,0.14,0.43,0.82,0.07911348977631394,,19.676446463395568,32.248566172492154,19,,13,0.37142857142857144
9,966,0.43,0.03,0.1,0.0,,11.347019710902545,32.248566172492154,12,,50,1.4285714285714286
10,293,0.92,0.17,0.03,0.0,,0.0,32.248566172492154,0,,0,0.0
11,1003,0.16,0.45,0.43,0.07911348977631394,,14.348768476831943,32.248566172492154,19,,63,1.8
12,498,0.77,0.53,0.92,0.0,,0.0,32.248566172492154,0,,0,0.0
13,193,0.55,0.12,0.9,0.0,,0.0,32.248566172492154,0,,0,0.0
14,396,0.66,0.44,0.21,0.0,,0.0,32.248566172492154,0,,0,0.0
15,1018,0.63,0.68,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
16,102,0.65,0.07,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
17,656,0.16,0.12,0.07,0.16264065382000426,,-1.2879244946214579,32.248566172492154,23,,4160,118.85714285714286
18,561,0.87,0.62,0.92,0.0,,0.0,32.248566172492154,0,,0,0.0
19,579,0.01,0.35,0.91,0.04085803456852699,,23.79013979805283,32.248566172492154,19,,19,0.5428571428571428
20,149,0.8,0.52,0.65,0.0,,0.0,32.248566172492154,0,,0,0.0
21,989,0.61,0.99,0.8,0.0,,0.0,32.248566172492154,0,,0,0.0
22,880,0.52,0.2,0.9,0.0,,4.710966542750929,32.248566172492154,8,,2,0.05714285714285714
23,414,0.43,0.31,0.82,0.0,,4.044017155404157,32.248566172492154,8,,2,0.05714285714285714
24,32,0.3,0.94,0.58,0.0,,4.1454457153383695,32.248566172492154,8,,1,0.02857142857142857
25,511,0.39,0.61,0.75,-0.07311306901615267,,2.7960217445021,32.248566172492154,11,,1,0.02857142857142857
26,681,0.36,0.49,0.09,0.0,,-8.60497217919135,32.248566172492154,12,,164,4.685714285714286
27,316,0.56,0.27,0.89,0.0,,0.0,32.248566172492154,0,,0,0.0
28,205,0.99,0.11,0.47,0.0,,0.0,32.248566172492154,0,,0,0.0
29,278,0.38,0.86,0.98,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,,1,0.02857142857142857
30,839,0.23,0.35,0.95,0.07911348977631394,,-1.8875233944933956,32.248566172492154,20,,13,0.37142857142857144
31,952,0.68,0.75,0.88,0.0,,0.0,32.248566172492154,0,,0,0.0
32,715,0.49,0.97,0.0,0.0,,4.710966542750929,32.248566172492154,8,,2,0.05714285714285714
33,369,0.24,0.12,0.54,0.10948637316561838,,-519.2830270367705,32.248566172492154,21,,22,0.6285714285714286
34,412,0.08,0.38,0.78,0.07911348977631394,,86.36038838219956,32.248566172492154,19,,11,0.3142857142857143
35,274,0.38,0.49,0.16,0.0,,13.436123804260903,32.248566172492154,12,,14,0.4
36,984,0.75,0.65,0.91,0.0,,0.0,32.248566172492154,0,,0,0.0
37,629,0.23,0.46,0.16,0.22577415042357507,,0.7051783846956146,32.248566172492154,22,,1276,36.457142857142856
38,295,0.89,0.91,0.42,0.0,,0.0,32.248566172492154,0,,0,0.0
39,1058,0.08,0.45,0.81,0.07911348977631394,,0.4153979136378083,32.248566172492154,19,,13,0.37142857142857144
40,92,0.42,0.29,0.85,0.0,,4.710966542750929,32.248566172492154,8,,1,0.02857142857142857
41,1038,0.51,0.36,0.26,0.0,,7.909166489641679,32.248566172492154,12,,6,0.17142857142857143
42,160,0.08,0.05,0.81,-0.006826392988810159,,-0.9999731508382206,32.248566172492154,15,,148,4.228571428571429
43,829,0.33,0.6,0.01,0.12740643247365058,,497.7494124984911,32.248566172492154,21,,382,10.914285714285715
44,957,0.9,0.95,0.12,0.0,,0.0,32.248566172492154,0,,0,0.0
45,474,0.24,0.93,0.03,0.12740643247365058,,-3080.3636652002306,32.248566172492154,22,,702,20.057142857142857
46,204,0.58,0.14,0.38,0.0,,0.0,32.248566172492154,0,,0,0.0
47,314,0.63,0.36,0.98,0.0,,0.0,32.248566172492154,0,,0,0.0
48,1005,0.28,0.52,0.12,0.12740643247365058,,2133.5598044343815,32.248566172492154,22,,1380,39.42857142857143
49,1083,0.22,0.39,0.88,0.07911348977631416,,-8.269290375531462,32.248566172492154,19,,11,0.3142857142857143
50,841,0.03,0.17,0.44,0.05674836366861258,,-0.9882810843998581,32.248566172492154,17,,89,2.5428571428571427
51,494,0.8,0.35,0.12,0.0,,0.0,32.248566172492154,0,,0,0.0
52,469,0.39,0.87,0.95,-0.07311306901615267,,2.8405649911720126,32.248566172492154,11,,1,0.02857142857142857
53,9,0.04,0.88,0.6,0.04085803456852699,,26.975370747641218,32.248566172492154,18,,1,0.02857142857142857
54,921,0.16,0.91,0.62,0.04085803456852699,,83.82246981449933,32.248566172492154,19,,3,0.08571428571428572
55,754,0.15,0.54,0.19,0.11920671497583024,,183.76984110028135,32.248566172492154,19,,3247,92.77142857142857
56,881,0.43,0.73,0.11,0.0,,8.271600581131223,32.248566172492154,12,,42,1.2
57,550,0.57,0.21,0.74,0.0,,0.0,32.248566172492154,0,,0,0.0
58,901,0.92,0.81,0.62,0.0,,0.0,32.248566172492154,0,,0,0.0
59,937,0.48,0.62,0.43,0.0,,6.07132934878658,32.248566172492154,12,,12,0.34285714285714286
60,501,0.07,0.42,0.15,0.0005584484756151475,,1.6628078967933129,32.248566172492154,16,,3335,95.28571428571429
61,160,0.64,0.27,0.09,0.0,,0.0,32.248566172492154,0,,0,0.0
62,853,0.8,0.6,0.53,0.0,,0.0,32.248566172492154,0,,0,0.0
63,1082,0.51,0.56,0.99,0.0,,20.0240828308186,32.248566172492154,12,,4,0.11428571428571428
64,421,0.84,0.23,0.35,0.0,,0.0,32.248566172492154,0,,0,0.0
65,1027,0.14,0.08,0.32,0.16264065382000426,,-0.9503932740507172,32.248566172492154,19,,677,19.34285714285714
66,397,0.66,0.13,0.69,0.0,,0.0,32.248566172492154,0,,0,0.0
67,419,0.24,0.16,0.67,0.08406823715639167,,-527.6053595420616,32.248566172492154,21,,22,0.6285714285714286
68,456,0.87,0.23,0.7,0.0,,0.0,32.248566172492154,0,,0,0.0
69,57,0.12,0.31,0.69,0.04085803456852699,,30.312101910828027,32.248566172492154,18,,1,0.02857142857142857
70,666,0.66,0.31,0.05,0.0,,0.0,32.248566172492154,0,,0,0.0
71,644,0.12,0.96,0.46,0.04085803456852699,,27.533178195961966,32.248566172492154,18,,9,0.2571428571428571
72,56,0.17,0.39,0.02,0.032595581866754264,,-67.30826437192103,32.248566172492154,17,,114,3.257142857142857
73,75,0.3,0.34,0.64,0.0,,4.044017155404157,32.248566172492154,8,,1,0.02857142857142857
74,1067,0.36,0.95,0.27,0.10948637316561838,,274.7748811756333,32.248566172492154,20,,334,9.542857142857143
75,527,0.31,0.53,0.75,-0.07311306901615255,,1.5112382509194933,32.248566172492154,10,,1,0.02857142857142857
76,584,0.42,0.82,0.53,-0.07311306901615267,,2.8405649911720126,32.248566172492154,11,,1,0.02857142857142857
77,282,0.89,0.56,0.7,0.0,,0.0,32.248566172492154,0,,0,0.0
78,179,0.59,0.58,0.42,0.0,,0.0,32.248566172492154,0,,0,0.0
79,665,0.87,0.06,0.55,0.0,,0.0,32.248566172492154,0,,0,0.0
80,1020,0.01,0.79,0.94,0.04085803456852699,,72.37085409576912,32.248566172492154,18,,5,0.14285714285714285
81,793,0.98,0.62,0.97,0.0,,0.0,32.248566172492154,0,,0,0.0
82,519,0.63,0.13,0.99,0.0,,0.0,32.248566172492154,0,,0,0.0
83,177,0.92,0.79,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
84,3,0.93,0.25,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
85,963,0.72,0.58,0.04,0.0,,0.0,32.248566172492154,0,,0,0.0
86,1029,0.77,0.33,0.96,0.0,,0.0,32.248566172492154,0,,0,0.0
87,471,0.81,0.9,0.22,0.0,,0.0,32.248566172492154,0,,0,0.0
88,400,0.93,0.84,0.62,0.0,,0.0,32.248566172492154,0,,0,0.0
89,652,0.03,0.04,0.9,-0.16845806052677936,,-0.9999999186105799,32.248566172492154,9,,125,3.5714285714285716
90,552,0.2,0.34,0.57,0.005249895002100047,,-0.6969920370198097,32.248566172492154,17,,13,0.37142857142857144
91,385,0.93,0.51,0.65,0.0,,0.0,32.248566172492154,0,,0,0.0
92,426,0.05,0.75,0.9,0.04085803456852699,,30.074589127686473,32.248566172492154,18,,1,0.02857142857142857
93,36,0.99,0.16,0.74,0.0,,0.0,32.248566172492154,0,,0,0.0
94,437,0.05,0.49,0.77,0.04085803456852721,,53.07660130984031,32.248566172492154,18,,5,0.14285714285714285
95,304,0.17,0.41,0.41,0.07911348977631394,,161.68828910732722,32.248566172492154,19,,13,0.37142857142857144
96,166,0.25,0.47,0.78,0.07911348977631394,,55.37614678899082,32.248566172492154,19,,1,0.02857142857142857
