,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,808,0.22,0.35,0.97,0.07911348977631416,,-1.1705444708630908,32.248566172492154,20,,15,0.42857142857142855
1,840,0.54,0.32,0.88,0.0,,0.0,32.248566172492154,0,,0,0.0
2,999,0.82,0.68,0.26,0.0,,0.0,32.248566172492154,0,,0,0.0
3,152,0.31,0.67,0.81,0.04085803456852699,,131.91902173913044,32.248566172492154,18,,1,0.02857142857142857
4,526,0.76,0.65,0.91,0.0,,0.0,32.248566172492154,0,,0,0.0
5,402,0.75,0.2,0.37,0.0,,0.0,32.248566172492154,0,,0,0.0
6,703,0.85,0.88,0.33,0.0,,0.0,32.248566172492154,0,,0,0.0
7,1020,0.98,0.19,0.35,0.0,,0.0,32.248566172492154,0,,0,0.0
8,276,0.92,0.34,0.71,0.0,,0.0,32.248566172492154,0,,0,0.0
9,492,0.4,0.97,0.34,0.0,,10.75867365977738,32.248566172492154,12,,20,0.5714285714285714
10,837,0.81,0.5,0.61,0.0,,0.0,32.248566172492154,0,,0,0.0
11,976,0.35,0.95,0.36,0.04085803456852699,,0.5270718875494003,32.248566172492154,18,,293,8.371428571428572
12,851,0.62,0.65,0.31,0.0,,0.0,32.248566172492154,0,,0,0.0
13,735,0.82,0.03,0.15,0.0,,0.0,32.248566172492154,0,,0,0.0
14,553,0.67,0.54,0.38,0.0,,0.0,32.248566172492154,0,,0,0.0
15,644,0.28,0.91,0.19,0.10901118692131129,,-1.6550245384947675,32.248566172492154,20,,512,14.628571428571428
16,695,0.12,0.2,0.95,0.1094863731656186,,-1.0183273078630217,32.248566172492154,18,,39,1.1142857142857143
17,313,0.94,0.97,0.32,0.0,,0.0,32.248566172492154,0,,0,0.0
18,425,0.27,0.47,0.3,0.04085803456852699,,-50.464617800177216,32.248566172492154,19,,235,6.714285714285714
19,859,0.94,0.96,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
20,758,0.7,0.6,0.54,0.0,,0.0,32.248566172492154,0,,0,0.0
21,523,0.3,0.43,0.05,-0.0727125034381394,,0.3013748872906452,32.248566172492154,13,,312,8.914285714285715
22,819,0.7,0.62,0.86,0.0,,0.0,32.248566172492154,0,,0,0.0
23,365,0.18,0.43,0.27,0.03705815279361446,,-2.4940778687224276,32.248566172492154,17,,293,8.371428571428572
24,669,0.75,0.93,0.56,0.0,,0.0,32.248566172492154,0,,0,0.0
25,595,0.81,0.36,0.46,0.0,,0.0,32.248566172492154,0,,0,0.0
26,469,0.74,0.99,0.33,0.0,,0.0,32.248566172492154,0,,0,0.0
27,718,0.87,0.46,0.45,0.0,,0.0,32.248566172492154,0,,0,0.0
28,478,0.48,0.43,0.22,0.0,,4.631663362546469,32.248566172492154,8,,2,0.05714285714285714
29,896,0.06,0.91,0.59,0.04085803456852721,,66.8098011467738,32.248566172492154,18,,3,0.08571428571428572
30,659,0.78,0.23,0.65,0.0,,0.0,32.248566172492154,0,,0,0.0
31,81,0.37,0.83,0.24,0.0,,4.631663362546469,32.248566172492154,8,,2,0.05714285714285714
32,682,0.87,0.71,0.7,0.0,,0.0,32.248566172492154,0,,0,0.0
33,387,0.97,0.23,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
34,161,0.3,0.38,0.12,0.07906800922114932,,-793.9498610192308,32.248566172492154,19,,32,0.9142857142857143
35,306,0.26,0.58,0.85,0.07911348977631416,,55.09426605504587,32.248566172492154,19,,1,0.02857142857142857
36,464,0.34,0.05,0.33,-0.02171361720361431,,-5.364761962238267,32.248566172492154,11,,114,3.257142857142857
37,1075,0.57,0.59,0.21,0.0,,0.0,32.248566172492154,0,,0,0.0
38,332,0.56,0.52,0.52,0.0,,0.0,32.248566172492154,0,,0,0.0
39,838,0.42,0.95,0.52,-0.04578868062694508,,1.270836921059887,32.248566172492154,10,,3,0.08571428571428572
40,1011,0.53,0.42,0.3,0.0,,4.631663362546469,32.248566172492154,8,,2,0.05714285714285714
41,926,0.25,0.72,0.46,0.04085803456852699,,-18.726567551128454,32.248566172492154,18,,29,0.8285714285714286
42,1051,0.17,0.18,0.29,0.036660157079260625,,-1.000029388491291,32.248566172492154,18,,1283,36.65714285714286
43,1015,0.14,0.03,0.33,0.16198827847174901,,-0.9985256002594319,32.248566172492154,18,,540,15.428571428571429
44,912,0.73,0.38,0.67,0.0,,0.0,32.248566172492154,0,,0,0.0
45,1085,0.94,0.14,0.92,0.0,,0.0,32.248566172492154,0,,0,0.0
46,528,0.74,0.91,0.37,0.0,,0.0,32.248566172492154,0,,0,0.0
47,66,0.93,0.54,0.07,0.0,,0.0,32.248566172492154,0,,0,0.0
48,205,0.21,0.12,0.23,0.07874658643069932,,-43.96295124603842,32.248566172492154,18,,270,7.714285714285714
49,733,0.37,0.77,0.87,-0.07311306901615278,,2.241497680583168,32.248566172492154,10,,1,0.02857142857142857
50,864,0.88,0.37,0.6,0.0,,0.0,32.248566172492154,0,,0,0.0
51,1075,0.69,0.71,0.07,0.0,,0.0,32.248566172492154,0,,0,0.0
52,112,0.55,0.07,0.53,0.0,,0.0,32.248566172492154,0,,0,0.0
53,671,0.88,0.48,0.8,0.0,,0.0,32.248566172492154,0,,0,0.0
54,311,0.32,0.49,0.84,0.04085803456852721,,-118.16315102800408,32.248566172492154,18,,3,0.08571428571428572
55,379,0.3,0.73,0.82,0.07911348977631416,,55.09426605504587,32.248566172492154,19,,1,0.02857142857142857
56,283,0.01,0.29,0.14,-0.09750854046413004,,-0.9999999968772274,32.248566172492154,13,,2319,66.25714285714285
57,549,0.95,0.98,0.56,0.0,,0.0,32.248566172492154,0,,0,0.0
58,196,0.97,0.9,0.76,0.0,,0.0,32.248566172492154,0,,0,0.0
59,188,0.8,0.41,0.06,0.0,,0.0,32.248566172492154,0,,0,0.0
60,729,0.87,0.26,0.27,0.0,,0.0,32.248566172492154,0,,0,0.0
61,88,0.75,0.96,0.36,0.0,,0.0,32.248566172492154,0,,0,0.0
62,781,0.78,0.24,0.28,0.0,,0.0,32.248566172492154,0,,0,0.0
63,645,0.21,0.57,0.08,0.0005557406155825007,,-1.0000181951042293,32.248566172492154,16,,1806,51.6
64,864,0.83,0.61,0.91,0.0,,0.0,32.248566172492154,0,,0,0.0
65,320,0.07,0.57,0.76,0.04085803456852699,,36.854533434816474,32.248566172492154,18,,3,0.08571428571428572
66,285,0.52,0.67,0.73,0.0,,0.0,32.248566172492154,0,,0,0.0
67,178,0.7,0.91,0.6,0.0,,0.0,32.248566172492154,0,,0,0.0
68,838,0.9,0.36,0.31,0.0,,0.0,32.248566172492154,0,,0,0.0
69,661,0.17,0.26,0.32,0.03670660901390588,,-0.8811822846292249,32.248566172492154,19,,339,9.685714285714285
70,887,0.98,0.49,0.91,0.0,,0.0,32.248566172492154,0,,0,0.0
71,50,0.38,0.38,0.62,0.0,,4.682411710037175,32.248566172492154,8,,1,0.02857142857142857
72,1048,0.34,0.15,0.12,0.07879288207149182,,10.49079297278766,32.248566172492154,19,,442,12.628571428571428
73,888,0.92,0.98,0.58,0.0,,0.0,32.248566172492154,0,,0,0.0
74,767,0.56,0.63,0.26,0.0,,0.0,32.248566172492154,0,,0,0.0
75,146,0.6,0.91,0.31,0.0,,0.0,32.248566172492154,0,,0,0.0
76,459,0.79,0.74,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
77,385,0.89,0.99,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
78,335,0.98,0.96,0.28,0.0,,0.0,32.248566172492154,0,,0,0.0
79,639,0.72,0.23,0.0,0.0,,0.0,32.248566172492154,0,,0,0.0
80,249,0.0,0.48,0.09,-0.6053237672812586,,-1.0,32.248566172492154,7,,5429,155.11428571428573
81,946,0.26,0.32,0.86,0.07911348977631394,,-1.4941433960511992,32.248566172492154,19,,13,0.37142857142857144
82,993,0.64,0.45,0.9,0.0,,0.0,32.248566172492154,0,,0,0.0
83,180,0.86,0.64,0.95,0.0,,0.0,32.248566172492154,0,,0,0.0
84,905,0.07,0.32,0.05,-0.9579391801187088,,-1.0,32.248566172492154,5,,16086,459.6
85,283,0.43,0.85,0.59,0.0,,4.119718486761676,32.248566172492154,8,,1,0.02857142857142857
86,1070,0.99,0.31,0.73,0.0,,0.0,32.248566172492154,0,,0,0.0
87,365,0.69,0.75,0.27,0.0,,0.0,32.248566172492154,0,,0,0.0
88,248,0.31,0.37,0.05,0.07878690276377576,,460.08359380444966,32.248566172492154,19,,84,2.4
89,329,0.36,0.41,0.02,-0.07275337949467275,,4.648540998589698,32.248566172492154,11,,26,0.7428571428571429
90,726,0.64,0.98,0.19,0.0,,0.0,32.248566172492154,0,,0,0.0
91,1092,0.6,0.17,0.23,0.0,,0.0,32.248566172492154,0,,0,0.0
92,702,0.02,0.29,0.76,0.04085803456852699,,6.761806400904064,32.248566172492154,18,,29,0.8285714285714286
93,1065,0.56,0.33,0.2,0.0,,0.0,32.248566172492154,0,,0,0.0
94,83,0.41,0.94,0.63,0.0,,4.682411710037175,32.248566172492154,8,,1,0.02857142857142857
95,530,0.58,0.14,0.74,0.0,,0.0,32.248566172492154,0,,0,0.0
96,359,0.94,0.7,0.39,0.0,,0.0,32.248566172492154,0,,0,0.0
97,660,0.93,0.57,0.53,0.0,,0.0,32.248566172492154,0,,0,0.0
98,663,0.38,0.82,0.92,-0.04578868062694508,,2.4441283744771938,32.248566172492154,10,,1,0.02857142857142857
99,123,0.36,0.96,0.43,0.0,,2.8037881065372785,32.248566172492154,7,,3,0.08571428571428572
