,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,107,0.57,0.85,0.02,0.0,,0.0,32.248566172492154,0,,0,0.0
1,836,0.9,0.3,0.82,0.0,,0.0,32.248566172492154,0,,0,0.0
2,155,0.13,0.77,0.37,0.04085803456852699,,32.693307788058746,32.248566172492154,18,,7,0.2
3,258,0.33,0.39,0.17,0.0,,0.1420512717023068,32.248566172492154,2,,44,1.2571428571428571
4,1088,0.93,0.44,0.22,0.0,,0.0,32.248566172492154,0,,0,0.0
5,368,0.26,0.55,0.77,0.0005584484756151475,,10.337604078792092,32.248566172492154,16,,5,0.14285714285714285
6,909,0.77,0.9,0.01,0.0,,0.0,32.248566172492154,0,,0,0.0
7,748,0.48,0.72,0.49,0.0,,3.73747429312146,32.248566172492154,8,,5,0.14285714285714285
8,23,0.73,0.13,0.89,0.0,,0.0,32.248566172492154,0,,0,0.0
9,891,0.96,0.64,0.12,0.0,,0.0,32.248566172492154,0,,0,0.0
10,1026,0.92,0.84,0.28,0.0,,0.0,32.248566172492154,0,,0,0.0
11,923,0.92,0.57,0.06,0.0,,0.0,32.248566172492154,0,,0,0.0
12,694,0.97,0.26,0.34,0.0,,0.0,32.248566172492154,0,,0,0.0
13,288,0.73,0.87,0.51,0.0,,0.0,32.248566172492154,0,,0,0.0
14,959,0.42,0.47,0.24,0.0,,-0.14760307022502384,32.248566172492154,1,,66,1.8857142857142857
15,859,0.84,0.83,0.67,0.0,,0.0,32.248566172492154,0,,0,0.0
16,390,0.9,0.53,0.57,0.0,,0.0,32.248566172492154,0,,0,0.0
17,267,0.87,0.87,0.01,0.0,,0.0,32.248566172492154,0,,0,0.0
18,396,0.21,0.91,0.47,0.04085803456852699,,40.393304386418365,32.248566172492154,18,,3,0.08571428571428572
19,1042,0.25,0.55,0.97,0.037058152793614685,,27.091899500495476,32.248566172492154,17,,11,0.3142857142857143
20,735,0.1,0.21,0.1,-0.5892201039382439,,-1.0,32.248566172492154,3,,9885,282.42857142857144
21,192,0.01,0.5,0.08,-0.43440250700629945,,-0.999999999995959,32.248566172492154,7,,5455,155.85714285714286
22,1094,0.1,0.55,0.38,0.04085803456852721,,9.374168897212003,32.248566172492154,18,,243,6.942857142857143
23,1046,0.59,0.17,0.93,0.0,,0.0,32.248566172492154,0,,0,0.0
24,104,0.78,0.88,0.52,0.0,,0.0,32.248566172492154,0,,0,0.0
25,387,0.34,0.84,0.59,-0.07311306901615267,,1.6018191489361704,32.248566172492154,10,,1,0.02857142857142857
26,806,0.93,0.93,0.44,0.0,,0.0,32.248566172492154,0,,0,0.0
27,332,0.66,0.12,0.94,0.0,,0.0,32.248566172492154,0,,0,0.0
28,455,0.74,0.44,0.43,0.0,,0.0,32.248566172492154,0,,0,0.0
29,106,0.51,0.98,0.63,0.0,,0.0,32.248566172492154,0,,0,0.0
30,146,0.81,0.32,0.97,0.0,,0.0,32.248566172492154,0,,0,0.0
31,395,0.03,0.18,0.4,0.046734841216821144,,5.868798325734445,32.248566172492154,18,,79,2.257142857142857
32,748,0.05,0.48,0.03,-0.8969103812151538,,-1.0,32.248566172492154,1,,18754,535.8285714285714
33,450,0.2,0.94,0.23,-0.07311306901615255,,-0.864115281649413,32.248566172492154,16,,799,22.82857142857143
34,1082,0.3,0.15,0.45,0.0,,1.9903394466894127,32.248566172492154,10,,50,1.4285714285714286
35,895,0.06,0.41,0.02,-0.8697020619093954,,-1.0,32.248566172492154,1,,17818,509.0857142857143
36,146,0.83,0.8,0.16,0.0,,0.0,32.248566172492154,0,,0,0.0
37,93,0.23,0.31,0.94,0.0,,1.0242514746188274,32.248566172492154,15,,3,0.08571428571428572
38,382,0.84,0.78,0.96,0.0,,0.0,32.248566172492154,0,,0,0.0
39,980,0.37,0.63,0.62,-0.03601275302345697,,1.8294139153486264,32.248566172492154,10,,3,0.08571428571428572
40,518,0.67,0.81,0.88,0.0,,0.0,32.248566172492154,0,,0,0.0
41,73,0.1,0.73,0.4,0.04085803456852699,,24.06143747832295,32.248566172492154,18,,3,0.08571428571428572
42,122,0.32,0.27,0.69,0.0,,4.018797069627136,32.248566172492154,8,,1,0.02857142857142857
43,30,0.07,0.42,0.07,-0.10161398857802739,,-0.9872076896973395,32.248566172492154,11,,948,27.085714285714285
44,314,0.01,0.87,0.39,0.04085803456852699,,17.482388402642876,32.248566172492154,18,,15,0.42857142857142855
45,934,0.51,0.91,0.84,-0.07311306901615255,,3.0761153980766984,32.248566172492154,11,,1,0.02857142857142857
46,327,0.21,0.12,0.18,0.0,,-0.952054621012191,32.248566172492154,6,,834,23.82857142857143
47,1019,0.91,0.38,0.21,0.0,,0.0,32.248566172492154,0,,0,0.0
48,67,0.35,0.13,0.94,0.0,,0.2825659226215398,32.248566172492154,1,,2,0.05714285714285714
49,137,0.07,0.99,0.86,0.04085803456852699,,30.155541401273886,32.248566172492154,18,,1,0.02857142857142857
50,952,0.53,0.23,0.21,0.0,,0.18674186338289966,32.248566172492154,1,,2,0.05714285714285714
51,283,0.6,0.33,0.18,0.0,,0.0,32.248566172492154,0,,0,0.0
52,547,0.61,0.06,0.69,0.0,,0.0,32.248566172492154,0,,0,0.0
53,308,0.23,0.58,0.25,0.037058152793614685,,-0.2988071854106974,32.248566172492154,14,,343,9.8
54,978,0.41,0.6,0.36,0.0,,-0.2806525293242239,32.248566172492154,0,,102,2.914285714285714
55,153,0.89,0.35,0.94,0.0,,0.0,32.248566172492154,0,,0,0.0
56,776,0.86,0.72,0.41,0.0,,0.0,32.248566172492154,0,,0,0.0
57,1009,0.98,0.67,0.16,0.0,,0.0,32.248566172492154,0,,0,0.0
58,502,0.1,0.36,0.71,0.04085803456852699,,45.10925502666358,32.248566172492154,18,,15,0.42857142857142855
59,767,0.59,0.73,0.54,0.0,,0.0,32.248566172492154,0,,0,0.0
60,376,0.66,0.65,0.17,0.0,,0.0,32.248566172492154,0,,0,0.0
61,287,0.71,0.81,0.26,0.0,,0.0,32.248566172492154,0,,0,0.0
62,1064,0.76,0.06,0.53,0.0,,0.0,32.248566172492154,0,,0,0.0
63,756,0.78,0.93,0.83,0.0,,0.0,32.248566172492154,0,,0,0.0
64,71,0.17,0.87,0.74,0.04085803456852699,,41.131093884582256,32.248566172492154,18,,1,0.02857142857142857
65,582,0.41,0.85,0.76,-0.07311306901615278,,2.7770416357795895,32.248566172492154,11,,1,0.02857142857142857
66,26,0.45,0.19,0.3,0.0,,0.0,32.248566172492154,0,,0,0.0
67,175,0.47,0.68,0.05,0.0,,0.18674186338289966,32.248566172492154,1,,2,0.05714285714285714
68,110,0.63,0.25,0.26,0.0,,0.0,32.248566172492154,0,,0,0.0
69,668,0.25,0.87,0.04,0.0,,-0.9809697020133592,32.248566172492154,2,,1012,28.914285714285715
70,1013,0.58,0.46,0.82,0.0,,0.0,32.248566172492154,0,,0,0.0
71,644,0.24,0.56,0.79,0.0005584484756151475,,15.716748725927214,32.248566172492154,16,,7,0.2
72,201,0.62,0.6,0.7,0.0,,0.0,32.248566172492154,0,,0,0.0
73,386,0.08,0.68,0.2,0.037058152793614685,,-0.9477671362764758,32.248566172492154,17,,1089,31.114285714285714
74,674,0.96,0.68,0.64,0.0,,0.0,32.248566172492154,0,,0,0.0
75,371,0.7,0.48,0.08,0.0,,0.0,32.248566172492154,0,,0,0.0
76,607,0.0,0.86,0.94,0.04085803456852721,,29.609556595658503,32.248566172492154,18,,1,0.02857142857142857
77,253,0.81,0.56,0.58,0.0,,0.0,32.248566172492154,0,,0,0.0
78,1053,0.61,0.51,0.62,0.0,,0.0,32.248566172492154,0,,0,0.0
79,458,0.59,0.34,0.74,0.0,,0.0,32.248566172492154,0,,0,0.0
80,470,0.56,0.77,0.83,0.0,,0.0,32.248566172492154,0,,0,0.0
81,596,0.08,0.26,0.52,0.07911348977631394,,17.667093553717216,32.248566172492154,20,,29,0.8285714285714286
82,994,0.22,0.24,0.77,0.0,,1.3277237220947873,32.248566172492154,15,,19,0.5428571428571428
83,209,0.31,0.57,0.7,0.04085803456852699,,131.91902173913044,32.248566172492154,18,,1,0.02857142857142857
84,316,0.58,0.98,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
85,329,0.62,0.76,0.48,0.0,,0.0,32.248566172492154,0,,0,0.0
86,321,0.05,0.64,0.82,0.04085803456852699,,29.53320848938826,32.248566172492154,18,,1,0.02857142857142857
87,214,0.65,0.28,0.75,0.0,,0.0,32.248566172492154,0,,0,0.0
88,678,0.8,0.1,0.18,0.0,,0.0,32.248566172492154,0,,0,0.0
89,284,0.73,0.02,0.09,0.0,,0.0,32.248566172492154,0,,0,0.0
90,591,0.05,0.46,0.47,0.04085803456852699,,51.31641265186553,32.248566172492154,18,,13,0.37142857142857144
91,813,0.05,0.71,0.19,0.03705815279361446,,-0.9999995435393769,32.248566172492154,15,,3487,99.62857142857143
92,211,0.46,0.06,0.74,0.0,,0.42352897653345734,32.248566172492154,1,,2,0.05714285714285714
93,586,0.57,0.58,0.84,0.0,,0.0,32.248566172492154,0,,0,0.0
94,650,0.06,0.82,0.12,-0.5278535278546239,,-0.9999999999999972,32.248566172492154,10,,7073,202.0857142857143
