,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,69,0.55,0.46,0.61,0.0,,0.0,32.248566172492154,0,,0,0.0
1,517,0.39,0.39,0.91,-0.07311306901615267,,2.7960217445021,32.248566172492154,11,,4,0.11428571428571428
2,422,0.97,0.47,0.36,0.0,,0.0,32.248566172492154,0,,0,0.0
3,241,0.21,0.37,0.07,0.04213631195208656,,52.51098923706347,32.248566172492154,19,,488,13.942857142857143
4,906,0.31,0.6,0.55,0.04085803456852699,,63.34554973821989,32.248566172492154,18,,5,0.14285714285714285
5,717,0.75,0.21,0.42,0.0,,0.0,32.248566172492154,0,,0,0.0
6,112,0.42,0.17,0.18,0.0,,4.710966542750929,32.248566172492154,8,,2,0.05714285714285714
7,404,0.12,0.14,0.1,0.04085803456852721,,43.528985507246325,32.248566172492154,18,,4478,127.94285714285714
8,461,0.48,0.23,0.31,0.0,,4.710966542750929,32.248566172492154,8,,2,0.05714285714285714
9,1078,0.08,0.35,0.64,0.04085803456852721,,42.84509730472164,32.248566172492154,18,,19,0.5428571428571428
10,660,0.96,0.14,0.51,0.0,,0.0,32.248566172492154,0,,0,0.0
11,572,0.69,0.52,0.86,0.0,,0.0,32.248566172492154,0,,0,0.0
12,197,0.21,0.71,0.25,0.04213631195208656,,52.51098923706347,32.248566172492154,19,,167,4.771428571428571
13,326,0.27,0.78,0.34,0.07911348977631416,,55.37614678899081,32.248566172492154,19,,61,1.7428571428571429
14,269,0.36,0.66,0.4,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,,7,0.2
15,531,0.62,0.93,0.43,0.0,,0.0,32.248566172492154,0,,0,0.0
16,336,0.24,0.32,0.23,0.04213631195208656,,52.51098923706347,32.248566172492154,19,,487,13.914285714285715
17,157,0.6,0.8,0.89,0.0,,0.0,32.248566172492154,0,,0,0.0
18,267,0.74,0.41,0.18,0.0,,0.0,32.248566172492154,0,,0,0.0
19,322,0.73,0.3,0.51,0.0,,0.0,32.248566172492154,0,,0,0.0
20,265,0.03,0.21,0.67,0.04085803456852699,,29.121810739932844,32.248566172492154,18,,43,1.2285714285714286
21,938,0.04,0.24,0.52,0.04085803456852699,,40.38047138047138,32.248566172492154,18,,37,1.0571428571428572
22,948,0.15,0.03,0.15,0.04085803456852721,,47.29930636065327,32.248566172492154,18,,6580,188.0
23,739,0.13,0.0,0.21,0.04085803456852699,,46.68278725096513,32.248566172492154,18,,2452,70.05714285714286
24,586,0.68,0.04,0.6,0.0,,0.0,32.248566172492154,0,,0,0.0
25,606,0.34,0.79,0.45,-0.07311306901615255,,2.3305781764474736,32.248566172492154,10,,11,0.3142857142857143
26,628,0.51,0.07,0.33,0.0,,4.710966542750929,32.248566172492154,8,,2,0.05714285714285714
27,275,0.53,0.11,0.2,0.0,,0.0,32.248566172492154,0,,0,0.0
28,459,0.83,0.8,0.08,0.0,,0.0,32.248566172492154,0,,0,0.0
29,241,0.04,0.51,0.75,0.04085803456852699,,29.121810739932844,32.248566172492154,18,,1,0.02857142857142857
30,841,0.22,0.73,0.11,0.045173686164057925,,52.666950503264125,32.248566172492154,19,,2550,72.85714285714286
31,752,0.84,0.66,0.14,0.0,,0.0,32.248566172492154,0,,0,0.0
32,902,0.76,0.74,0.65,0.0,,0.0,32.248566172492154,0,,0,0.0
33,260,0.94,0.76,0.86,0.0,,0.0,32.248566172492154,0,,0,0.0
34,1023,0.42,0.29,0.0,-0.06417479730658215,,2.3777655627318954,32.248566172492154,10,,72,2.057142857142857
35,770,0.85,0.55,0.07,0.0,,0.0,32.248566172492154,0,,0,0.0
36,577,0.59,0.48,0.21,0.0,,0.0,32.248566172492154,0,,0,0.0
37,977,0.5,0.38,0.46,-0.07311306901615267,,3.019886828247146,32.248566172492154,11,,8,0.22857142857142856
38,934,0.32,0.61,0.07,0.04085803456852699,,66.4904084268009,32.248566172492154,18,,496,14.17142857142857
39,341,0.13,0.46,0.13,0.04085803456852699,,41.74633925776496,32.248566172492154,18,,3047,87.05714285714286
40,839,0.73,0.84,0.44,0.0,,0.0,32.248566172492154,0,,0,0.0
41,885,0.87,0.35,0.96,0.0,,0.0,32.248566172492154,0,,0,0.0
42,210,0.33,0.49,0.06,0.04085803456852699,,137.0898876404494,32.248566172492154,18,,26,0.7428571428571429
43,450,0.81,0.03,0.0,0.0,,0.0,32.248566172492154,0,,0,0.0
44,95,0.62,0.99,0.28,0.0,,0.0,32.248566172492154,0,,0,0.0
45,981,0.26,0.5,0.84,0.04085803456852699,,55.97728326379231,32.248566172492154,18,,11,0.3142857142857143
46,394,0.36,0.4,0.52,-0.07311306901615267,,2.68692626147477,32.248566172492154,11,,4,0.11428571428571428
47,931,0.79,0.34,0.2,0.0,,0.0,32.248566172492154,0,,0,0.0
48,190,0.51,0.02,0.34,0.0,,0.0,32.248566172492154,0,,0,0.0
49,423,0.69,0.48,0.61,0.0,,0.0,32.248566172492154,0,,0,0.0
50,1039,0.48,0.85,0.52,-0.07311306901615267,,2.7960217445021,32.248566172492154,11,,5,0.14285714285714285
51,671,0.36,0.53,0.55,-0.07311306901615255,,2.330578176447474,32.248566172492154,10,,5,0.14285714285714285
