,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,836,0.46,0.38,0.41,-0.07276372859351965,,2.6053864436444725,32.248566172492154,11,,18,0.5142857142857142
1,108,0.11,0.65,0.01,0.0307860530560482,,0.14760201331753842,32.248566172492154,17,,1392,39.77142857142857
2,1072,0.16,0.84,0.52,0.04085803456852699,,46.18187040595418,32.248566172492154,18,,9,0.2571428571428571
3,992,0.49,0.37,0.65,-0.07311306901615267,,2.983228137860867,32.248566172492154,11,,4,0.11428571428571428
4,114,0.28,0.31,0.0,0.0406576800212477,,123.34343895651219,32.248566172492154,18,,26,0.7428571428571429
5,495,0.68,0.02,0.61,0.0,,0.0,32.248566172492154,0,,0,0.0
6,245,0.4,0.37,0.39,0.0,,3.951391928393549,32.248566172492154,8,,4,0.11428571428571428
7,1013,0.98,0.93,0.06,0.0,,0.0,32.248566172492154,0,,0,0.0
8,825,0.32,0.45,0.26,0.040603646773487156,,22.00903101990281,32.248566172492154,18,,426,12.17142857142857
9,754,0.61,0.67,0.59,0.0,,0.0,32.248566172492154,0,,0,0.0
10,82,0.52,0.89,0.69,0.0,,0.0,32.248566172492154,0,,0,0.0
11,889,0.34,0.54,0.43,0.04085803456852721,,58.22240785596423,32.248566172492154,18,,51,1.457142857142857
12,646,0.84,0.24,0.72,0.0,,0.0,32.248566172492154,0,,0,0.0
13,784,0.8,0.5,0.48,0.0,,0.0,32.248566172492154,0,,0,0.0
14,588,0.8,0.67,0.67,0.0,,0.0,32.248566172492154,0,,0,0.0
15,540,0.86,0.68,0.32,0.0,,0.0,32.248566172492154,0,,0,0.0
16,95,0.13,0.59,0.88,0.04085803456852699,,41.90719298245614,32.248566172492154,18,,1,0.02857142857142857
17,963,0.39,0.95,0.82,-0.07311306901615278,,2.241497680583168,32.248566172492154,10,,1,0.02857142857142857
18,747,0.04,0.46,0.33,0.04085803456852699,,12.082192537824316,32.248566172492154,18,,347,9.914285714285715
19,932,0.21,0.48,0.19,0.03680365658727314,,-0.9866078371251205,32.248566172492154,16,,3276,93.6
20,710,0.5,0.88,0.57,0.0,,4.682411710037175,32.248566172492154,8,,1,0.02857142857142857
