,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,479,874,0.0318000117098034,,5.684865748316585,32.248566172492154,18,,81,2.3142857142857145
1,126,341,0.050714943329984497,,2.1847013020026496,32.248566172492154,17,,215,6.142857142857143
2,266,576,0.11366068235462845,,19.83647255128568,32.248566172492154,20,,115,3.2857142857142856
3,999,1033,0.03146401897703188,,0.18761824946436345,32.248566172492154,17,,140,4.0
4,614,858,0.031841256719335354,,2.2254873930361168,32.248566172492154,17,,80,2.2857142857142856
5,411,686,0.054674658186877556,,13.634588120659517,32.248566172492154,19,,112,3.2
6,26,710,0.135314350382838,,9.763831636565222,32.248566172492154,20,,222,6.3428571428571425
7,355,857,0.06048806712970878,,69.65494017432832,32.248566172492154,20,,77,2.2
8,234,340,-0.0023936157075907794,,-0.13663601055892782,32.248566172492154,15,,229,6.542857142857143
9,1034,1077,0.0,,4.92390627985015,32.248566172492154,14,,119,3.4
10,81,527,0.1559475596596418,,28.16968915990853,32.248566172492154,19,,160,4.571428571428571
11,50,939,0.11907864657210365,,45.1688434619822,32.248566172492154,18,,114,3.257142857142857
12,503,814,0.029724358981453314,,3.0168369026052853,32.248566172492154,16,,79,2.257142857142857
13,951,1015,0.031495219091057125,,6.961858904229932,32.248566172492154,18,,110,3.142857142857143
14,406,990,0.09180639106616817,,49.87490714942348,32.248566172492154,18,,66,1.8857142857142857
15,753,1061,0.07872974385362985,,18.735879549348027,32.248566172492154,19,,64,1.8285714285714285
16,81,555,0.18666640946661217,,35.862760878956266,32.248566172492154,23,,144,4.114285714285714
17,221,619,0.12449269045630706,,32.59006686467451,32.248566172492154,19,,109,3.1142857142857143
18,597,920,0.053689495478129956,,14.887443195253773,32.248566172492154,17,,74,2.1142857142857143
19,535,594,0.05733595982558626,,2.48612500860277,32.248566172492154,18,,175,5.0
20,777,836,0.15445779255624292,,1.1495586619086984,32.248566172492154,17,,127,3.6285714285714286
21,269,878,0.2867209296963731,,53.7343519386508,32.248566172492154,20,,72,2.057142857142857
22,1009,1068,0.031205098550252552,,2.0323459074935606,32.248566172492154,16,,112,3.2
23,586,993,0.03183700215833207,,12.14951416604711,32.248566172492154,16,,70,2.0
24,872,908,0.029341048722541396,,0.18288651183634497,32.248566172492154,16,,155,4.428571428571429
25,127,952,0.11061434584928853,,20.504268756509955,32.248566172492154,19,,81,2.3142857142857145
26,1007,1043,0.027665018157877475,,1.1193954221746667,32.248566172492154,17,,136,3.8857142857142857
27,809,999,0.180154559825777,,34.8346735301229,32.248566172492154,20,,75,2.142857142857143
28,210,301,-0.030528024589735026,,-0.32094472335835156,32.248566172492154,15,,263,7.514285714285714
29,858,908,0.0316771522234891,,3.9852313466523253,32.248566172492154,18,,134,3.8285714285714287
30,731,1089,0.07872633118262251,,15.691451781246084,32.248566172492154,18,,62,1.7714285714285714
31,261,1021,0.03687041461248497,,97.84126419172644,32.248566172492154,17,,58,1.6571428571428573
32,923,1052,0.03372668740911644,,27.193335948990605,32.248566172492154,19,,87,2.4857142857142858
