,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,159,326,-0.008809103388181194,1.8487447965619244,155.48330788162184,76.40482573726541,8,0.07974946679151908
1,60,533,0.07155247714774293,1.7697904551527297,189.89972216778906,76.40482573726541,11,0.08567661349565399
2,493,919,0.08788892112815683,1.5138900004611475,120.30221811019783,76.40482573726541,11,0.0810494469760312
3,577,578,0.02494433273790264,1.5776974898095406,52.91974533682671,76.40482573726541,11,0.07284237942814777
4,651,986,-0.06169508824813574,1.1302482572677899,39.232777053313086,76.40482573726541,9,0.07018582962275374
5,318,612,0.08072372730057364,1.472575113044447,53.74694804999463,76.40482573726541,12,0.07384074455557942
6,534,1056,0.011576472214544387,1.4359573920447646,52.5431443921588,76.40482573726541,10,0.0731273042186512
7,152,655,0.07457512152843182,1.6117805973365178,58.98220170282562,76.40482573726541,12,0.07462151873238594
8,635,912,0.03265661672800313,1.2127959814296763,52.80892883413325,76.40482573726541,10,0.0727581711074863
9,297,1080,-0.057465955481390996,1.5344749069830448,140.7919433302096,76.40482573726541,9,0.08285356702475086
10,297,524,0.058048632241537224,1.5441436570523344,85.02032970471834,76.40482573726541,12,0.07833477574194886
11,802,963,-0.005360788798496552,1.0392268700271248,36.92802881995548,76.40482573726541,9,0.06941323910820457
12,321,774,0.010677081928892163,1.5443562712830168,73.14960714179774,76.40482573726541,10,0.07627237523498319
13,145,856,0.05685424024549168,1.4894243402756115,73.23336214874635,76.40482573726541,11,0.07781143044735958
14,648,964,0.022771715218310007,1.1342761514375548,45.333308872493156,76.40482573726541,10,0.07166718973161774
15,670,731,-0.02567969393685965,1.4292523715827528,39.153487536820556,76.40482573726541,9,0.07002861318282969
16,786,1042,-0.018261694851389176,1.064410080677402,31.921194769950624,76.40482573726541,8,0.0686249375118328
17,847,1061,-0.015576829990282093,1.0242175938782998,19.27377023007194,76.40482573726541,8,0.0654118338200395
18,67,1094,0.006255370418949635,0.9037935036830776,18.394496550242163,76.40482573726541,10,0.08130020618005901
19,974,977,0.0027863153941258822,0.837750289330998,26.00295942578189,76.40482573726541,10,0.07381166814807458
20,790,1080,-0.020961161784622595,1.0676156661269318,27.468163160936378,76.40482573726541,9,0.06739026486942416
21,579,808,0.006604215811992109,1.4621123784722982,68.52857237438246,76.40482573726541,10,0.07521772978219017
22,332,851,0.03626868779375125,1.500354969729693,104.09452805253744,76.40482573726541,11,0.07977707416979124
23,218,869,0.038858275114743046,1.6198447159337312,83.56556578814349,76.40482573726541,11,0.07817039248893394
24,137,722,0.07104284319661902,1.6002330638637106,89.73736442606739,76.40482573726541,11,0.07747197173786781
25,409,551,0.020700245700245645,1.4365812702744711,78.53698409497649,76.40482573726541,12,0.0779723810303729
26,996,1084,0.01963864627214673,0.8817622006613133,26.64458400618246,76.40482573726541,11,0.07788458797339472
27,251,972,0.03114826220853506,1.6060415589207868,123.90407454676007,76.40482573726541,10,0.08205732409865094
28,462,972,0.06834297722875649,1.6776890945159297,136.01466640855003,76.40482573726541,11,0.08261313929788462
29,1069,1071,0.005600865869422655,0.8859023247240432,21.786771491656026,76.40482573726541,10,0.0772612899537146
30,115,995,0.038291900561347125,1.5456091701371089,87.78861427482644,76.40482573726541,12,0.07885531286052386
31,1038,1070,-0.02752033371783924,0.9273779514170861,18.616356072970632,76.40482573726541,8,0.07394096495959668
32,878,1056,0.009275483565798437,1.0258008543633934,30.96503221518288,76.40482573726541,10,0.06953353890374436
33,570,696,0.05039486570019136,1.6564829190427597,61.33362026539127,76.40482573726541,12,0.0741016860177653
34,583,764,0.03803067938436211,1.462617667675026,78.02902295564928,76.40482573726541,11,0.07659856985779419
