,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,538,0.42,0.39,0.58,0.6023292093593544,32.248566172492154,8,15,0.22,0.41170896598115814,0.6436151499452962
1,269,0.41,0.07,0.78,7.390499354032427,32.248566172492154,17,7,0.0,0.5511048351628554,0.6436151499452962
2,277,0.24,0.31,0.41,-0.16815735319875602,32.248566172492154,3,112,0.47,0.039661791719940394,0.6436151499452962
3,585,0.55,0.44,0.16,1.0593601933469006,32.248566172492154,3,4,0.5,0.14464719482418725,0.6436151499452962
4,651,0.11,0.98,0.79,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
5,733,0.63,0.02,0.26,2.700446028926335,32.248566172492154,19,35,0.19,0.38352711132539385,0.6436151499452962
6,568,0.49,0.59,0.15,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
7,1076,0.24,0.15,0.4,-0.9999953961272902,32.248566172492154,17,2703,0.17,0.6345073505559551,0.6436151499452962
8,1068,0.91,0.28,0.75,0.41576273231096184,32.248566172492154,11,5,0.17,0.41281615243501013,0.6436151499452962
9,423,0.15,0.66,0.59,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
10,840,0.27,0.55,0.92,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
11,368,0.6,0.46,0.42,2.7579478402284816,32.248566172492154,6,1,0.36,0.2900795198383298,0.6436151499452962
12,731,0.67,0.11,0.38,6.463604875966854,32.248566172492154,18,15,0.14,0.4681552077316003,0.6436151499452962
13,658,0.95,0.66,0.59,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
14,543,0.2,0.98,0.02,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
15,592,0.39,0.31,0.87,-0.049464968328701286,32.248566172492154,8,53,0.22,0.4231258551525494,0.6436151499452962
16,1020,0.05,0.06,0.96,-1.0,32.248566172492154,4,18778,0.03,0.6509408476119032,0.6436151499452962
17,807,0.75,0.66,0.42,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
18,405,0.64,0.9,0.62,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
19,102,0.35,0.92,0.13,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
20,662,0.46,0.82,0.44,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
21,489,0.81,0.09,0.59,16.1999523233584,32.248566172492154,17,5,0.03,0.5906443715680342,0.6436151499452962
22,255,0.31,0.29,0.24,-0.2679703316190569,32.248566172492154,5,89,0.39,0.16129449704250487,0.6436151499452962
23,630,0.69,0.14,0.87,21.1664810358367,32.248566172492154,17,3,0.06,0.6108364904630528,0.6436151499452962
24,398,0.33,0.12,0.92,6.149954668228852,32.248566172492154,17,107,0.03,0.5631670494133159,0.6436151499452962
25,732,0.11,0.47,0.98,-0.03945434624467925,32.248566172492154,1,8,0.5,0.021131905957632542,0.6436151499452962
26,864,0.24,0.48,0.75,-0.04494937934191168,32.248566172492154,1,10,0.5,0.020125281203675932,0.6436151499452962
27,1051,0.36,0.9,0.47,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
28,424,0.99,0.44,0.1,0.2858682561952588,32.248566172492154,2,2,0.5,0.05915972000353786,0.6436151499452962
29,1024,0.32,0.89,0.03,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
30,908,0.11,0.58,0.88,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
31,768,0.61,0.43,0.24,1.0303052131651937,32.248566172492154,4,4,0.5,0.10435929829329665,0.6436151499452962
32,939,0.29,0.63,0.08,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
33,541,0.28,0.84,0.73,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
34,691,0.65,0.17,0.27,1.2945803094207227,32.248566172492154,16,19,0.31,0.29651652438278153,0.6436151499452962
35,340,0.97,0.93,0.11,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
36,131,0.55,0.87,0.4,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
37,474,0.16,0.69,0.59,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
38,883,0.54,0.62,0.93,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
39,395,0.07,0.39,0.01,0.2646596407523911,32.248566172492154,2,16,0.5,0.05132512696731975,0.6436151499452962
40,254,0.98,0.6,0.82,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
41,391,0.54,0.4,0.47,1.364527438413862,32.248566172492154,9,1,0.22,0.4039638611370015,0.6436151499452962
42,162,0.78,0.04,0.23,20.84648662557607,32.248566172492154,17,25,0.22,0.5878185380255418,0.6436151499452962
43,643,0.46,0.43,0.65,0.8762897473806799,32.248566172492154,9,9,0.22,0.40860480842428165,0.6436151499452962
44,415,0.92,0.52,0.91,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
45,154,0.74,0.8,0.09,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
