,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,146,0.62,0.03,0.89,0.0,,0.0,32.248566172492154,0,,0,0.0
1,986,0.25,0.0,0.44,0.0,,0.4964097500175222,32.248566172492154,9,,62,1.7714285714285714
2,603,0.12,0.42,0.77,0.04085803456852699,,87.73524389672305,32.248566172492154,18,,13,0.37142857142857144
3,629,0.85,0.01,0.93,0.0,,0.0,32.248566172492154,0,,0,0.0
4,595,0.92,0.98,0.07,0.0,,0.0,32.248566172492154,0,,0,0.0
5,155,0.53,0.69,0.4,0.0,,0.0,32.248566172492154,0,,0,0.0
6,576,0.06,0.77,0.74,0.04085803456852699,,37.57534681961951,32.248566172492154,18,,3,0.08571428571428572
7,327,0.76,0.3,0.38,0.0,,0.0,32.248566172492154,0,,0,0.0
8,607,0.2,0.98,0.02,0.0,,-0.9997640880196507,32.248566172492154,4,,1918,54.8
9,750,0.69,0.98,0.65,0.0,,0.0,32.248566172492154,0,,0,0.0
10,34,0.18,0.81,0.61,0.04085803456852699,,52.24343429087816,32.248566172492154,19,,1,0.02857142857142857
11,22,0.44,0.6,0.93,0.0,,0.0,32.248566172492154,0,,0,0.0
12,351,0.35,0.76,0.22,0.0,,-0.04687113848618685,32.248566172492154,0,,40,1.1428571428571428
13,600,0.32,0.02,0.89,0.0,,0.24870601147544957,32.248566172492154,6,,10,0.2857142857142857
14,684,0.18,0.52,0.88,0.04085803456852699,,91.77229886173082,32.248566172492154,20,,9,0.2571428571428571
15,928,0.67,0.5,0.53,0.0,,0.0,32.248566172492154,0,,0,0.0
16,119,0.57,0.27,0.33,0.0,,0.0,32.248566172492154,0,,0,0.0
17,737,0.23,0.59,0.6,0.0399478177332373,,29.605931900607107,32.248566172492154,18,,7,0.2
18,1011,0.87,0.33,0.41,0.0,,0.0,32.248566172492154,0,,0,0.0
19,391,0.15,0.63,0.66,0.04085803456852699,,54.17690132407438,32.248566172492154,18,,3,0.08571428571428572
20,119,0.52,0.9,0.9,0.0,,0.0,32.248566172492154,0,,0,0.0
21,971,0.32,0.96,0.14,0.0,,-0.9182602941727627,32.248566172492154,1,,540,15.428571428571429
22,174,0.87,0.9,0.43,0.0,,0.0,32.248566172492154,0,,0,0.0
23,833,0.05,0.68,0.13,-0.3375155087584035,,-0.9999999999999994,32.248566172492154,11,,7463,213.22857142857143
24,576,0.28,0.75,0.29,0.0,,-0.8653749171422344,32.248566172492154,9,,390,11.142857142857142
25,539,0.3,0.74,0.05,0.0,,-0.7267547525876599,32.248566172492154,1,,320,9.142857142857142
26,591,0.26,0.88,0.16,0.0,,-0.9354724238479947,32.248566172492154,2,,658,18.8
27,951,0.3,0.02,0.38,0.0,,-0.16562213261103642,32.248566172492154,6,,210,6.0
28,323,0.68,0.18,0.26,0.0,,0.0,32.248566172492154,0,,0,0.0
29,732,0.45,0.73,0.29,0.0,,0.132998709161529,32.248566172492154,1,,16,0.45714285714285713
30,634,0.67,0.06,0.89,0.0,,0.0,32.248566172492154,0,,0,0.0
31,303,0.58,0.47,0.27,0.0,,0.0,32.248566172492154,0,,0,0.0
32,238,0.56,0.22,0.28,0.0,,0.0,32.248566172492154,0,,0,0.0
33,413,0.49,0.91,0.18,0.0,,0.18674186338289966,32.248566172492154,1,,2,0.05714285714285714
34,452,0.71,0.7,0.39,0.0,,0.0,32.248566172492154,0,,0,0.0
35,665,0.67,0.82,0.64,0.0,,0.0,32.248566172492154,0,,0,0.0
36,186,0.43,0.47,0.71,0.0,,4.682411710037175,32.248566172492154,8,,1,0.02857142857142857
37,428,0.75,0.21,0.34,0.0,,0.0,32.248566172492154,0,,0,0.0
38,1025,0.51,0.43,0.41,0.0,,0.284169485687761,32.248566172492154,2,,6,0.17142857142857143
39,211,0.88,0.77,0.3,0.0,,0.0,32.248566172492154,0,,0,0.0
40,269,0.09,0.76,0.77,0.04085803456852699,,40.736377753886586,32.248566172492154,18,,1,0.02857142857142857
41,204,0.07,0.94,0.37,0.04085803456852699,,22.973979721850377,32.248566172492154,18,,9,0.2571428571428571
42,926,0.96,0.85,0.78,0.0,,0.0,32.248566172492154,0,,0,0.0
43,686,0.09,0.33,0.29,0.04085803456852699,,0.3800824116140482,32.248566172492154,18,,503,14.371428571428572
44,768,0.51,0.71,0.76,0.0,,4.682411710037175,32.248566172492154,8,,1,0.02857142857142857
45,982,0.88,0.36,0.78,0.0,,0.0,32.248566172492154,0,,0,0.0
46,84,0.9,0.46,0.13,0.0,,0.0,32.248566172492154,0,,0,0.0
47,368,0.26,0.42,0.15,0.0,,-0.7191727174773863,32.248566172492154,3,,360,10.285714285714286
48,625,0.73,0.08,0.77,0.0,,0.0,32.248566172492154,0,,0,0.0
49,188,0.71,0.82,0.22,0.0,,0.0,32.248566172492154,0,,0,0.0
50,197,0.36,0.58,0.44,0.0,,3.145106525113028,32.248566172492154,8,,3,0.08571428571428572
51,611,0.58,0.71,0.33,0.0,,0.0,32.248566172492154,0,,0,0.0
52,507,0.4,0.65,0.47,-0.07311306901615267,,2.303489779793985,32.248566172492154,11,,3,0.08571428571428572
53,913,0.12,0.44,0.18,0.03705815279361446,,-0.9999999937372652,32.248566172492154,15,,4375,125.0
54,272,0.92,0.29,0.38,0.0,,0.0,32.248566172492154,0,,0,0.0
55,425,0.35,0.45,0.13,0.0,,-0.0493143157225584,32.248566172492154,0,,62,1.7714285714285714
56,942,0.4,0.86,0.92,-0.07311306901615278,,2.313925285565236,32.248566172492154,10,,1,0.02857142857142857
57,998,0.03,0.16,0.74,0.0793421545825459,,0.24992334076103861,32.248566172492154,21,,53,1.5142857142857142
58,859,0.31,0.47,0.74,0.0,,4.250784433821429,32.248566172492154,14,,7,0.2
59,101,0.04,0.16,0.5,0.04085803456852699,,49.70977533846624,32.248566172492154,18,,47,1.3428571428571427
60,871,0.45,0.43,0.06,0.0,,0.15144147628226445,32.248566172492154,1,,28,0.8
61,363,0.07,0.13,0.57,0.03705815279361446,,-0.22853636639179653,32.248566172492154,17,,75,2.142857142857143
62,1091,0.51,0.1,0.01,0.0,,0.284169485687761,32.248566172492154,2,,6,0.17142857142857143
63,145,0.34,0.44,0.67,0.0,,4.018797069627136,32.248566172492154,8,,1,0.02857142857142857
64,641,0.49,0.34,0.35,0.0,,0.18674186338289966,32.248566172492154,1,,2,0.05714285714285714
65,615,0.31,0.63,0.17,0.0,,-0.7306776774838764,32.248566172492154,1,,324,9.257142857142858
66,244,0.28,0.9,0.89,0.07911348977631416,,55.09426605504587,32.248566172492154,19,,1,0.02857142857142857
67,218,0.62,0.62,0.24,0.0,,0.0,32.248566172492154,0,,0,0.0
68,117,0.09,0.61,0.5,0.04085803456852699,,30.318717906032706,32.248566172492154,18,,1,0.02857142857142857
69,215,0.88,0.48,0.75,0.0,,0.0,32.248566172492154,0,,0,0.0
70,459,0.84,0.39,0.56,0.0,,0.0,32.248566172492154,0,,0,0.0
71,660,0.65,0.73,0.53,0.0,,0.0,32.248566172492154,0,,0,0.0
72,664,0.01,0.31,0.39,0.06909424658427543,,16.285591840857812,32.248566172492154,19,,97,2.7714285714285714
73,311,0.96,0.76,0.22,0.0,,0.0,32.248566172492154,0,,0,0.0
74,675,0.36,0.24,0.69,0.0,,3.436384926473587,32.248566172492154,10,,9,0.2571428571428571
75,54,0.24,0.32,0.01,0.0,,0.5016151633445227,32.248566172492154,5,,16,0.45714285714285713
76,751,0.09,0.99,0.06,-0.5993881118173485,,-1.0,32.248566172492154,2,,11592,331.2
77,779,0.42,0.31,0.75,0.0,,1.201913260325104,32.248566172492154,5,,4,0.11428571428571428
78,781,0.45,0.07,0.24,0.0,,0.2541679816764162,32.248566172492154,1,,22,0.6285714285714286
79,225,0.21,0.25,0.82,0.12740643247365058,,116.0194971599737,32.248566172492154,22,,17,0.4857142857142857
80,379,0.03,0.06,0.42,-0.02098433193926974,,-0.7870446304014779,32.248566172492154,15,,153,4.371428571428571
81,433,0.01,0.09,0.71,0.025272998379539002,,-0.37525451760836614,32.248566172492154,18,,127,3.6285714285714286
82,304,0.26,0.79,0.34,0.07911348977631394,,28.13240778831847,32.248566172492154,19,,53,1.5142857142857142
83,400,0.24,0.76,0.06,0.0,,-0.8925625593612789,32.248566172492154,4,,614,17.542857142857144
84,139,0.33,0.58,0.46,0.0,,4.018797069627136,32.248566172492154,8,,1,0.02857142857142857
85,707,0.12,0.87,0.18,0.0007547405071750557,,-0.9999985831451192,32.248566172492154,15,,3403,97.22857142857143
86,26,0.79,0.88,0.12,0.0,,0.0,32.248566172492154,0,,0,0.0
87,112,0.47,0.56,0.64,0.0,,0.0,32.248566172492154,0,,0,0.0
88,1026,0.46,0.85,0.63,-0.07311306901615267,,2.6684916301673964,32.248566172492154,11,,1,0.02857142857142857
89,861,0.14,0.72,0.18,-0.08443717884625024,,-0.9999999828655022,32.248566172492154,14,,4125,117.85714285714286
90,1083,0.09,0.67,0.44,0.04085803456852699,,23.324019737171813,32.248566172492154,18,,49,1.4
91,934,0.45,0.35,0.59,0.0,,6.395907463831333,32.248566172492154,8,,4,0.11428571428571428
92,245,0.6,0.71,0.73,0.0,,0.0,32.248566172492154,0,,0,0.0
93,686,0.17,0.34,0.7,0.037058152793614685,,17.877960902072466,32.248566172492154,18,,15,0.42857142857142855
94,696,0.81,0.36,0.97,0.0,,0.0,32.248566172492154,0,,0,0.0
95,763,0.04,0.19,0.08,-0.764137086368341,,-1.0,32.248566172492154,8,,13287,379.62857142857143
96,457,0.35,0.26,0.59,0.0,,1.261667042995223,32.248566172492154,6,,5,0.14285714285714285
97,400,0.46,0.15,0.35,0.0,,0.18674186338289966,32.248566172492154,1,,2,0.05714285714285714
98,864,0.88,0.86,0.06,0.0,,0.0,32.248566172492154,0,,0,0.0
99,183,0.41,0.97,0.66,0.0,,4.119718486761676,32.248566172492154,8,,1,0.02857142857142857
