company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FedEx,Consumer Shipping,Yes,FDX,85,86,82,80,83,83,82,82,82,83,84,86,84,85,84,85,83,82,85,82,82,82,82,81,79,80
Atmos Energy,Investor-Owned Energy Utilities,Yes,ATO,,,,,,,,,,,,,,75,78,78,81,83,85,83,82,77,80,80,78,78
Salt River Project,Municipal Energy Utilities,No,N/A, , , , , , , , , , , , , , , , ,82,81,81,79,80,77,78,80,78,77
CenterPoint Energy,Investor-Owned Energy Utilities,Yes,CNP,,,,,,,,,,,73,72,74,75,78,78,80,82,84,81,81,76,79,82,80,77
UPS,Consumer Shipping,Yes,UPS,83,87,82,77,79,81,78,80,79,80,82,83,81,83,82,82,85,81,84,82,82,80,81,82,79,76
NextEra Energy,Investor-Owned Energy Utilities,Yes,NEE,77,74,69,75,74,76,73,71,73,76,74,68,73,76,76,75,78,80,80,76,77,76,75,76,77,76
Consolidated Edison,Investor-Owned Energy Utilities,Yes,ED,76,74,71,69,73,71,66,74,72,68,68,68,69,66,66,66,72,71,70,69,68,71,79,78,78,75
Sempra Energy,Investor-Owned Energy Utilities,Yes,SRE,,,,,,,67,74,77,77,79,75,80,80,80,83,81,83,80,82,79,75,78,77,75,75
NiSource,Investor-Owned Energy Utilities,Yes,NI,,,,,,,67,68,66,68,68,66,72,70,71,76,76,81,81,78,78,73,78,78,76,75
Southern Company,Investor-Owned Energy Utilities,Yes,SO,78,76,77,79,78,80,80,81,82,81,79,80,82,81,78,78,77,81,83,80,77,76,77,79,77,75
Dominion Energy,Investor-Owned Energy Utilities,Yes,D,75,72,74,75,74,75,65,70,72,67,71,70,73,75,72,75,77,80,82,80,78,74,77,78,76,74
WEC Energy,Investor-Owned Energy Utilities,Yes,WEC,,,,,,,,,,,,,,,,,,,,,,75,75,75,76,74
Berkshire Hathaway Energy,Investor-Owned Energy Utilities,No,N/A,,,,,,,,,,,,,,78,79,79,79,79,82,77,75,72,76,76,74,74
Touchstone Energy,Cooperative Energy Utilities,No,N/A, , , , , , , , , , , , , , , , ,83,81,83,81,80,77,78,77,75,74
Edison International,Investor-Owned Energy Utilities,Yes,EIX,74,77,78,75,73,78,60,66,69,71,75,78,74,75,77,75,75,76,77,77,76,74,76,76,75,74
Xcel Energy,Investor-Owned Energy Utilities,Yes,XEL,,,,,,,65,74,73,70,68,70,71,73,76,72,74,74,76,75,76,71,73,73,74,73
CMS Energy,Investor-Owned Energy Utilities,Yes,CMS,76,77,75,73,76,76,75,76,78,71,74,72,73,74,70,75,77,75,79,78,76,71,74,75,73,73
Ameren,Investor-Owned Energy Utilities,Yes,AEE,,,,,,,78,76,77,74,75,74,57,64,68,71,71,78,74,76,76,72,74,76,75,73
PPL,Investor-Owned Energy Utilities,Yes,PPL,,,,,,,80,80,80,79,80,81,81,78,79,74,79,80,80,79,78,75,77,78,73,73
CPS Energy,Municipal Energy Utilities,No,N/A, , , , , , , , , , , , , , , , ,79,79,80,75,77,72,73,75,72,72
U.S. Postal Service (Express & Priority Mail),Consumer Shipping,No,N/A,70,74,70,75,75,75,73,73,75,77,74,75,77,75,76,77,79,81,77,73,75,74,75,76,74,72
LA Department of Water & Power,Municipal Energy Utilities,No,N/A, , , , , , , , , , , , , , , , ,66,69,71,69,68,67,69,70,69,72
Exelon,Investor-Owned Energy Utilities,Yes,EXC, , , , , , ,66,69,71,71,71,70,68,69,70,72,73,70,74,75,69,70,71,72,73,72
Entergy,Investor-Owned Energy Utilities,Yes,ETR,76,75,70,70,69,74,69,74,71,73,75,70,73,74,74,73,76,78,81,76,77,70,74,75,75,72
Public Service Enterprise Group,Investor-Owned Energy Utilities,Yes,PEG,80,77,75,74,73,78,75,76,76,73,74,75,73,75,76,78,78,77,74,70,72,68,72,72,72,72
DTE Energy,Investor-Owned Energy Utilities,Yes,DTE,78,78,75,74,74,75,74,68,72,71,68,65,70,72,71,72,73,72,78,80,74,72,73,73,72,72
Duke Energy,Investor-Owned Energy Utilities,Yes,DUK,80,83,79,78,80,79,79,79,77,78,78,80,79,76,77,76,77,79,75,77,72,70,73,73,70,71
FirstEnergy,Investor-Owned Energy Utilities,Yes,FE,,,,,,,72,77,76,69,71,75,76,77,74,75,78,76,75,73,79,69,73,73,72,71
National Grid,Investor-Owned Energy Utilities,Yes,NGG, , , , , , , ,73,75,69,72,65,71,71,71,70,NM,NM,NM,NM,NM,71,71,73,71,70
Eversource Energy,Investor-Owned Energy Utilities,Yes,ES,70,72,67,65,68,72,76,72,73,68,74,72,69,68,72,74,75,59,73,71,66,65,71,70,68,69
American Electric Power,Investor-Owned Energy Utilities,Yes,AEP,80,82,77,78,77,79,76,75,74,75,74,75,73,76,74,73,72,79,75,77,74,70,72,73,68,68
PG&E,Investor-Owned Energy Utilities,Yes,PCG,71,72,71,68,71,73,49,58,66,66,67,68,72,70,73,70,67,69,74,70,71,72,74,70,70,63
Pepco Holdings,Investor-Owned Energy Utilities,Yes,POM,,,,,,,,,77,72,73,71,70,69,68,70,54,69,71,73,72,69,, , , 
Unicom,Investor-Owned Energy Utilities,No,N/A,68,68,62,66,62,59,, , , , , , , , , , , , , , , , , , , 
PECO Energy,Investor-Owned Energy Utilities,No,N/A,72,70,65,66,71,72,, , , , , , , , , , , , , , , , , , , 
Niagara Mohawk Power,Investor-Owned Energy Utilities,No,N/A,73,64,65,68,68,69,69,, , , , , , , , , , , , , , , , , , 
KeySpan,Investor-Owned Energy Utilities,No,N/A,,,,,,,68,72,71,74,70,71,74,, , , , , , , , , , , , 
GPU,Investor-Owned Energy Utilities,No,N/A,79,79,69,75,75,78,, , , , , , , , , , , , , , , , , , , 
Cinergy,Investor-Owned Energy Utilities,No,N/A,,,,,,,,,,74,75,71,, , , , , , , , , , , , , 
Central and South West,Investor-Owned Energy Utilities,No,N/A,82,78,78,,76,79,, , , , , , , , , , , , , , , , , , , 
PacifiCorp,Investor-Owned Energy Utilities,No,N/A,,,,,,,72,71,76,,,, , , , , , , , , , , , , , 
Allegheny Energy,Investor-Owned Energy Utilities,No,N/A,,,,,,,79,80,76,75,74,80,79,,,,,,,,,,,, , 
Iberdrola,Investor-Owned Energy Utilities,Yes,IBE,,,,,,,73,73,71,70,73,74,70,75,73,72,,,,,,,,, , 
Reliant Energy,Investor-Owned Energy Utilities,No,N/A,,,68,73,73,75,67,74,70,68,69,69,65,72,69,72,,,,,,,,, , 
Energy Future Holdings,Investor-Owned Energy Utilities,No,N/A,74,77,70,76,74,76,71,75,74,74,72,65,63,68,72,73,,,,,,,,, , 
Long Island Power Authority,Municipal Energy Utilities,No,N/A, , , , , , , , , , , , , , , , ,65,58,43,, , , , , , 
Progress Energy,Investor-Owned Energy Utilities,No,N/A,,,,,,,76,77,75,78,75,77,77,77,75,73,78,76,, , , , , , , 
Unilever,Personal Care and Cleaning Products,Yes,UL,83,83,82,83,81,85,83,83,85,85,85,85,86,87,87,87,82,86,85,80,80,84,81,82,80,
Optimum (Altice USA),Internet Service Providers/Fixed-Line Phone,Yes,ATUS, , , , , , , ,,,,,,,,,,,,,,61,69,68,64,63,
Bright House Networks,Internet Service Providers,No,N/A, , , , , , , ,,,,,,,,,,,,,,63,67,, , ,
Optimum (Altice USA),Fixed-Line Telephone Service,Yes,ATUS,,,,,,,,,,,,,,,,,,,,,67,72,71,69,69,
Windstream,Fixed-Line Telephone Service,Yes,WINMQ,,,,,,,,,,,,,,,,,,,,,61,65,65,64,64,
Frontier Communications,Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,,,,,,,,,,59,67,61,57,61,
Vonage,Fixed-Line Telephone Service,Yes,VG,,,,,,,,,,,,,,,,,,,,,73,78,80,76,77,
Orbitz (Expedia),Internet Travel Services,No,N/A,,,,,,,,76,77,75,74,75,73,74,76,75,76,76,,77,75,77,78,81,81,
Spirit,Airlines,Yes,SAVE,,,,,,,,,,,,,,,,,,,,,54,62,61,62,63,
Allegiant,Airlines,Yes,ALGT,,,,,,,,,,,,,,,,,,,,,65,65,71,74,71,
Alaska,Airlines,Yes,ALK,,,,,,,,,,,,,,,,,,,,,75,77,78,79,80,
Frontier Communications,Internet Service Providers,No,N/A,,,,,,,,,,,,,,,,,,,,,61,56,56,54,55,
Mediacom,Internet Service Providers,Yes,MCCC,,,,,,,,,,,,,,,,,,,,,57,57,58,53,56,
Bright House Networks,Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,,,,,,,,,,73,72,, , ,
Mitsubishi Electric & Electronics,Televisions and Video Players,Yes,6503.T,82,83,81,83,,,,,,,,,,,,,,,,,,,,,,
Allstate,Property and Casualty Insurance,Yes,ALL,73,74,71,73,73,75,76,74,73,76,76,78,78,79,79,78,78,79,77,77,73,77,78,78,78,
Farmers,Property and Casualty Insurance,Yes,N/A,71,72,71,72,75,73,73,72,75,77,73,78,76,77,78,76,79,79,76,77,71,77,79,80,80,
