,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FDX,15.0625,18.34375,22.1875,30.5,44.5,42.375,39.45000076293945,51.70000076293945,54.36000061035156,67.69999694824219,99.12000274658203,103.37999725341797,108.75,88.56999969482422,64.16000366210938,84.20999908447266,93.54000091552734,85.47000122070312,93.45999908447266,142.89999389648438,173.77999877929688,146.41000366210938,186.57000732421875,250.8300018310547,158.52000427246094,152.4199981689453,260.3999938964844
ATO,16.875,22.875,24.0,29.625,32.5,20.0,24.5,21.25,23.549999237060547,24.549999237060547,27.399999618530273,26.299999237060547,31.809999465942383,28.040000915527344,23.709999084472656,29.5,31.440000534057617,33.83000183105469,35.61000061035156,45.34000015258789,55.91999816894531,63.02000045776367,74.33999633789062,85.93000030517578,92.29000091552734,112.04000091552734,95.4000015258789
CNP,15.015937805175781,20.33737564086914,19.072874069213867,22.444875717163086,27.186750411987305,19.17824935913086,36.670501708984375,22.59239959716797,8.5600004196167,9.65999984741211,11.279999732971191,12.880000114440918,16.6299991607666,17.100000381469727,12.760000228881836,14.59000015258789,15.8100004196167,20.309999465942383,19.520000457763672,23.170000076293945,23.450000762939453,18.260000228881836,24.719999313354492,28.389999389648438,28.15999984741211,27.329999923706055,21.670000076293945
NEE,4.359375,5.765625,5.75,7.40625,7.671875,5.296875,8.859375,7.03125,7.536250114440918,8.177499771118164,9.375,10.46500015258789,13.604999542236328,16.967500686645508,12.5649995803833,13.260000228881836,13.045000076293945,15.289999961853027,17.497499465942383,21.34749984741211,26.657499313354492,25.717500686645508,29.885000228881836,39.10749816894531,43.16999816894531,60.49250030517578,77.20999908447266
ED,25.875,32.0,28.75,41.0,52.75,34.375,38.3125,40.11000061035156,42.95000076293945,43.060001373291016,43.7599983215332,46.43000030517578,48.119998931884766,48.66999816894531,39.0,45.72999954223633,49.7599983215332,62.099998474121094,56.20000076293945,55.150001525878906,66.0999984741211,63.849998474121094,73.72000122070312,84.75,76.31999969482422,90.55000305175781,72.2699966430664
NI,5.8202362060546875,7.490177154541016,7.784872055053711,9.688114166259766,11.959725379943848,6.99901819229126,12.008840560913086,9.076621055603027,7.8506879806518555,8.565814971923828,8.998035430908203,8.247544288635254,9.469548225402832,7.3555989265441895,4.322199821472168,6.113948822021484,6.962672233581543,9.45383071899414,9.874262809753418,12.903733253479004,16.71512794494629,19.40999984741211,22.170000076293945,25.639999389648438,25.290000915527344,27.93000030517578,22.93000030517578
SO,12.218000411987305,14.967049598693848,13.897974967956543,15.883399963378906,17.792463302612305,14.08888053894043,20.006975173950195,25.270000457763672,28.540000915527344,30.239999771118164,33.209999084472656,34.7599983215332,36.79999923706055,38.75,37.0,33.43000030517578,38.369998931884766,45.869998931884766,43.34000015258789,41.130001068115234,49.189998626708984,46.41999816894531,49.150001525878906,48.0099983215332,43.88999938964844,63.650001525878906,61.380001068115234
D,17.875,20.5,19.25,21.21875,23.375,19.5,32.875,30.0,27.540000915527344,31.940000534057617,34.0,38.80500030517578,41.849998474121094,47.29999923706055,35.93000030517578,39.099998474121094,42.93000030517578,53.470001220703125,52.36000061035156,64.61000061035156,77.26000213623047,66.97000122070312,76.56999969482422,81.19999694824219,71.4000015258789,82.87999725341797,75.05999755859375
WEC,12.875,15.25,13.375,14.4375,15.59375,9.75,11.28125,11.319999694824219,12.619999885559082,16.639999389648438,16.850000381469727,19.649999618530273,23.80500030517578,24.21500015258789,21.19499969482422,25.024999618530273,29.43000030517578,35.290000915527344,37.31999969482422,41.41999816894531,52.970001220703125,50.93000030517578,58.650001525878906,66.43000030517578,69.11000061035156,92.4000015258789,92.0999984741211
EIX,14.625,17.5,20.0,27.25,28.0,25.5,15.5,15.100000381469727,11.850000381469727,21.719999313354492,32.09000015258789,43.65999984741211,46.16999816894531,53.34000015258789,32.029998779296875,35.06999969482422,38.91999816894531,41.810001373291016,45.09000015258789,46.060001373291016,65.01000213623047,58.56999969482422,71.76000213623047,63.630001068115234,56.18000030517578,74.70999908447266,62.7599983215332
XEL,21.875,24.4375,22.9375,29.1875,27.6875,19.625,28.5625,27.799999237060547,11.010000228881836,17.079999923706055,18.219999313354492,18.520000457763672,23.18000030517578,22.510000228881836,18.59000015258789,21.3799991607666,23.670000076293945,27.889999389648438,27.030000686645508,27.90999984741211,36.02000045776367,35.61000061035156,40.7400016784668,48.220001220703125,49.15999984741211,63.54999923706055,66.54000091552734
CMS,23.0,29.875,33.625,43.9375,48.4375,30.9375,31.3125,23.899999618530273,9.470000267028809,8.619999885559082,10.430000305175781,14.569999694824219,16.760000228881836,17.329999923706055,10.180000305175781,15.670000076293945,18.700000762939453,22.31999969482422,24.739999771118164,26.799999237060547,34.900001525878906,35.83000183105469,41.63999938964844,47.38999938964844,49.52000045776367,62.86000061035156,60.63999938964844
