,company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,FedEx,Consumer Shipping,Yes,FDX,85,86,82,80,83,83,82,82,82,83,84,86,84,85,84,85,83,82,85,82,82,82,82,81,79,80
1,Atmos Energy,Investor-Owned Energy Utilities,Yes,ATO,,,,,,,,,,,,,,75,78,78,81,83,85,83,82,77,80,80,78,78
3,CenterPoint Energy,Investor-Owned Energy Utilities,Yes,CNP,,,,,,,,,,,73,72,74,75,78,78,80,82,84,81,81,76,79,82,80,77
4,UPS,Consumer Shipping,Yes,UPS,83,87,82,77,79,81,78,80,79,80,82,83,81,83,82,82,85,81,84,82,82,80,81,82,79,76
5,NextEra Energy,Investor-Owned Energy Utilities,Yes,NEE,77,74,69,75,74,76,73,71,73,76,74,68,73,76,76,75,78,80,80,76,77,76,75,76,77,76
6,Consolidated Edison,Investor-Owned Energy Utilities,Yes,ED,76,74,71,69,73,71,66,74,72,68,68,68,69,66,66,66,72,71,70,69,68,71,79,78,78,75
7,Sempra Energy,Investor-Owned Energy Utilities,Yes,SRE,,,,,,,67,74,77,77,79,75,80,80,80,83,81,83,80,82,79,75,78,77,75,75
8,NiSource,Investor-Owned Energy Utilities,Yes,NI,,,,,,,67,68,66,68,68,66,72,70,71,76,76,81,81,78,78,73,78,78,76,75
9,Southern Company,Investor-Owned Energy Utilities,Yes,SO,78,76,77,79,78,80,80,81,82,81,79,80,82,81,78,78,77,81,83,80,77,76,77,79,77,75
10,Dominion Energy,Investor-Owned Energy Utilities,Yes,D,75,72,74,75,74,75,65,70,72,67,71,70,73,75,72,75,77,80,82,80,78,74,77,78,76,74
11,WEC Energy,Investor-Owned Energy Utilities,Yes,WEC,,,,,,,,,,,,,,,,,,,,,,75,75,75,76,74
14,Edison International,Investor-Owned Energy Utilities,Yes,EIX,74,77,78,75,73,78,60,66,69,71,75,78,74,75,77,75,75,76,77,77,76,74,76,76,75,74
15,Xcel Energy,Investor-Owned Energy Utilities,Yes,XEL,,,,,,,65,74,73,70,68,70,71,73,76,72,74,74,76,75,76,71,73,73,74,73
16,CMS Energy,Investor-Owned Energy Utilities,Yes,CMS,76,77,75,73,76,76,75,76,78,71,74,72,73,74,70,75,77,75,79,78,76,71,74,75,73,73
17,Ameren,Investor-Owned Energy Utilities,Yes,AEE,,,,,,,78,76,77,74,75,74,57,64,68,71,71,78,74,76,76,72,74,76,75,73
18,PPL,Investor-Owned Energy Utilities,Yes,PPL,,,,,,,80,80,80,79,80,81,81,78,79,74,79,80,80,79,78,75,77,78,73,73
22,Exelon,Investor-Owned Energy Utilities,Yes,EXC, , , , , , ,66,69,71,71,71,70,68,69,70,72,73,70,74,75,69,70,71,72,73,72
