,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,470,0.31,0.1,0.08,0.0,-0.053967235603956776,0,0,0.5,0.0,0.05558526736912214
1,202,0.48,0.06,0.02,0.0,0.002966559794907342,0,0,0.5,0.0,0.05914927849804068
2,785,0.45,0.99,0.43,0.0,-0.03112291333556827,0,0,0.43,0.0,0.05896930225492074
3,872,0.16,0.3,0.38,0.17363873476970304,-0.001670932947807957,4,1,0.29,0.05791278802368336,0.05277270165734171
4,91,0.83,0.13,0.42,0.0,-0.033591787180561106,0,0,0.5,0.0,0.05590759832198633
5,631,0.05,0.48,0.59,0.0074505271623801494,-0.08780218542933071,4,1,0.12,0.05644477846293002,0.058879901882845406
6,566,0.4,0.91,0.44,0.0,-0.0698854551145075,0,0,0.5,0.0,0.05682497567153098
7,608,0.66,0.34,0.97,0.0,-0.08311341600693611,0,0,0.5,0.0,0.058278142247451085
8,572,0.17,0.97,0.04,0.0,-0.06014432470362008,0,0,0.5,0.0,0.055997927478102484
9,166,0.35,0.61,0.59,0.0,-0.015820558248444083,0,0,0.5,0.0,0.05710083082796243
10,931,0.32,0.08,0.61,0.0,-0.006197809766014695,0,0,0.43,0.0,0.053637199536665
11,965,0.55,0.44,0.13,0.0,0.031405263578756726,0,0,0.43,0.0,0.04766494815447054
12,479,0.53,0.2,0.78,0.0,-0.05597399426745131,0,0,0.5,0.0,0.05570963947194386
13,218,0.27,0.53,0.28,0.0,0.010823495062280308,0,0,0.5,0.0,0.06022755103762817
14,672,0.91,0.23,0.56,0.0,-0.06614132756267965,0,0,0.5,0.0,0.05648199740385707
15,590,0.07,0.43,0.19,0.027049714408250436,-0.056729417448686315,4,1,0.12,0.05855491977794473,0.0557588836522778
16,434,0.49,0.63,0.71,0.0,-0.07053954538146845,0,0,0.5,0.0,0.056888055957345855
17,970,0.51,0.92,0.03,0.0,0.024620614800932028,0,0,0.43,0.0,0.0485216882413589
18,671,0.68,0.57,0.32,0.0,-0.0662412709028396,0,0,0.5,0.0,0.056490749427493846
19,1007,0.36,0.4,0.79,0.0,-0.010975545868995629,0,0,0.43,0.0,0.054586865187319866
20,82,0.84,0.28,0.76,0.0,-0.032326722466486046,0,0,0.5,0.0,0.055967426416324816
21,210,0.08,0.89,0.45,0.012409713850725312,0.013689749328152256,4,1,0.12,0.056901003931236455,0.06065140633355205
22,156,0.85,0.65,0.17,0.0,-0.01628466921163374,0,0,0.5,0.0,0.05706019180873598
23,274,0.38,0.07,0.03,0.0,-0.02133957001748743,0,0,0.5,0.0,0.05664995565192947
24,619,0.76,0.67,0.45,0.0,-0.085622029010061,0,0,0.5,0.0,0.05859463905040229
25,732,0.69,0.83,0.77,0.0,-0.015062855280889798,0,0,0.38,0.0,0.05508004349786463
26,1070,0.7,0.61,0.13,0.0,-0.04556217985050959,0,0,0.43,0.0,0.062433438492852954
27,970,0.66,0.2,0.86,0.0,0.024620614800932028,0,0,0.43,0.0,0.0485216882413589
28,507,0.94,0.92,0.72,0.0,-0.044976741606295945,0,0,0.5,0.0,0.055144401339195584
29,745,0.59,0.38,0.67,0.0,0.007112217954111655,0,0,0.38,0.0,0.056415641033274504
30,430,0.17,0.55,0.98,0.0,-0.06755884945844248,0,0,0.5,0.0,0.05660820499152688
31,947,0.73,0.21,0.98,0.0,0.034561299596945316,0,0,0.43,0.0,0.04730357107070644
32,15,0.47,0.98,0.98,0.0,-0.027016141330870047,0,0,0.5,0.0,0.056261086406578564
33,275,0.49,0.24,0.39,0.0,-0.02312607208659878,0,0,0.5,0.0,0.05651930624785711
34,36,0.78,0.62,0.6,0.0,-0.03545126457586023,0,0,0.5,0.0,0.055826784356751376
35,194,0.92,0.14,0.46,0.0,0.007996722823393698,0,0,0.5,0.0,0.059825311980397304
36,741,0.65,0.9,0.8,0.0,0.03221076824949809,0,0,0.38,0.0,0.05924218250456443
37,29,0.49,0.82,0.4,0.0,-0.029311573260594526,0,0,0.5,0.0,0.05612576458369085
38,888,0.44,0.38,0.23,0.0,0.014066865916578575,0,0,0.43,0.0,0.05005949540805455
39,721,0.34,0.68,0.38,0.0,-0.045436593401991354,0,0,0.5,0.0,0.05516229081021305
40,674,0.57,0.04,0.18,0.0,-0.06600132210599785,0,0,0.5,0.0,0.056469774567540466
41,238,0.56,0.85,0.06,0.0,-0.002219054095378037,0,0,0.5,0.0,0.058507202333264216
42,38,0.06,0.31,0.86,0.027049714408250436,-0.03609076077576312,4,1,0.12,0.05855491977794473,0.05580095716745781
43,112,0.87,0.11,0.95,0.0,-0.019381227915994503,0,0,0.5,0.0,0.05680181082454656
44,499,0.67,0.03,0.06,0.0,-0.04666763435632715,0,0,0.5,0.0,0.055212669162666934
45,761,0.09,0.9,0.36,0.056504722033342114,-0.0034501982614080218,3,1,0.12,0.042460053065465346,0.05563652305501898
46,476,0.55,0.28,0.84,0.0,-0.0641575687671937,0,0,0.5,0.0,0.05631289738548327
47,782,0.52,0.91,0.8,0.0,-0.03056302552245982,0,0,0.43,0.0,0.05884000233808515
48,831,0.34,0.1,0.92,0.0,-0.04172432059113429,0,0,0.43,0.0,0.06148941153027179
49,287,0.84,0.31,0.01,0.0,-0.03322765072624434,0,0,0.5,0.0,0.055924417647190916
50,308,0.87,0.12,0.34,0.0,-0.03973892123593137,0,0,0.5,0.0,0.055672943342924865
51,839,0.09,0.78,0.62,0.056504722033342114,-0.026321028330597906,3,1,0.14,0.04549151881785118,0.057873491929001944
52,242,0.53,0.37,0.93,0.0,-0.0007331182992830199,0,0,0.5,0.0,0.058685389351698515
53,1077,0.63,0.6,0.79,0.0,-0.031725192060266805,0,0,0.43,0.0,0.059108833655674105
54,15,0.27,0.33,0.24,0.0,-0.027016141330870047,0,0,0.5,0.0,0.056261086406578564
55,205,0.21,0.22,0.87,0.0,0.019280655583370887,0,0,0.5,0.0,0.06152326547496654
56,476,0.97,0.12,0.36,0.0,-0.0641575687671937,0,0,0.5,0.0,0.05631289738548327
57,982,0.69,0.06,0.8,0.0,0.045422977770644746,0,0,0.43,0.0,0.046249280257253014
58,145,0.1,0.7,0.22,0.0,0.005672435930184516,0,0,0.5,0.0,0.059506538223382165
59,853,0.41,0.88,0.26,0.0,-0.018498449397106764,0,0,0.43,0.0,0.05615509809297777
60,265,0.58,0.06,0.56,0.0,-0.013559195686325354,0,0,0.5,0.0,0.05730591434324597
61,439,0.59,0.21,0.77,0.0,-0.07000444908376013,0,0,0.5,0.0,0.056836381862547275
62,1072,0.29,0.75,0.72,0.0,-0.04420236904313335,0,0,0.43,0.0,0.062097125866744825
63,804,0.79,0.52,0.67,0.0,-0.02532010311609112,0,0,0.43,0.0,0.057648898608965736
64,837,0.96,0.89,0.38,0.0,-0.03019653681269374,0,0,0.43,0.0,0.058755581378122604
65,1087,0.06,0.35,0.62,0.026734029280014227,-0.04378323506277215,3,1,0.14,0.04824335603325626,0.06199386592159867
66,536,0.28,0.2,0.8,0.0,-0.07091574579116411,0,0,0.5,0.0,0.05692475936401742
67,438,0.24,0.68,0.03,0.0,-0.0704009161582626,0,0,0.5,0.0,0.056874608587056986
68,1060,0.04,0.49,0.89,0.0071348613664756755,-0.05256980032577985,3,1,0.14,0.05119605418300602,0.06419708806772811
69,872,0.85,0.22,0.94,0.0,-0.001670932947807957,0,0,0.43,0.0,0.05277270165734171
70,109,0.54,0.67,0.24,0.0,-0.019711826979580183,0,0,0.5,0.0,0.05677554428079657
71,361,0.02,0.06,0.85,0.0653076502945078,-0.05452100290621231,4,6,0.25,0.053640667845670516,0.05561865032153528
72,349,0.76,0.34,0.33,0.0,-0.0505692159167338,0,0,0.5,0.0,0.05539616235092167
73,1077,0.36,0.77,0.6,0.0,-0.031725192060266805,0,0,0.43,0.0,0.059108833655674105
74,584,0.83,0.04,0.56,0.0,-0.04899581653439122,0,0,0.5,0.0,0.055317818733416416
75,729,0.55,0.5,0.06,0.0,-0.040058066285491356,0,0,0.5,0.0,0.05498480623406245
76,905,0.09,0.3,0.52,0.05694220071005507,-0.0010764085084919994,3,1,0.14,0.045461136601097525,0.05266180983305227
77,605,0.78,0.51,0.42,0.0,-0.07609198639140724,0,0,0.5,0.0,0.057460779466729055
78,466,0.11,0.24,0.8,0.13842959497689855,-0.069746570140928,4,1,0.38,0.045685100121665725,0.05681170200051354
79,363,0.79,0.35,0.49,0.0,-0.060528985389111,0,0,0.5,0.0,0.05602653081128771
80,489,0.58,0.65,0.36,0.0,-0.057218762113422694,0,0,0.5,0.0,0.0557914882536067
81,1032,0.5,0.74,0.95,0.0,-0.021976023095744646,0,0,0.43,0.0,0.05690844175560506
82,416,0.89,0.28,0.39,0.0,-0.0652606826731068,0,0,0.5,0.0,0.05640584247876783
83,801,0.82,0.32,0.22,0.0,-0.022874406442172757,0,0,0.43,0.0,0.05710584649437735
84,678,0.07,0.89,0.08,-0.8029146573781578,-0.048435619554980325,4,303,0.12,0.27307257694640036,0.05529134094881403
85,49,0.89,0.25,0.31,0.0,-0.035707164853013396,0,0,0.5,0.0,0.055816328436395536
86,694,0.58,0.52,0.67,0.0,-0.07424855839550815,0,0,0.5,0.0,0.05726330067086562
87,139,0.54,0.54,0.5,0.0,0.012137130588476985,0,0,0.5,0.0,0.0604198288705051
88,329,0.92,0.24,0.59,0.0,-0.04340573848015461,0,0,0.5,0.0,0.05557756813721336
89,380,0.69,0.65,0.86,0.0,-0.07051977828173217,0,0,0.5,0.0,0.0568861359387163
90,623,0.43,0.37,0.99,0.0,-0.0851807060248656,0,0,0.5,0.0,0.058538043875109635
91,985,0.66,0.35,0.85,0.0,0.03067400244351215,0,0,0.43,0.0,0.04775209819324089
92,544,0.91,0.3,0.15,0.0,-0.06608133908257496,0,0,0.5,0.0,0.05647675490709712
93,522,0.27,0.58,0.87,0.0,-0.06700033666870586,0,0,0.5,0.0,0.056557945898822154
94,694,0.42,0.32,0.2,0.0,-0.07424855839550815,0,0,0.5,0.0,0.05726330067086562
95,316,0.62,0.84,0.06,0.0,-0.04814490827343376,0,0,0.5,0.0,0.05550402033109386
96,377,0.94,0.14,0.0,0.0,-0.06859435879067333,0,0,0.5,0.0,0.05670321261074424
97,851,0.73,0.71,0.74,0.0,-0.01984400419813015,0,0,0.43,0.0,0.05644452564172125
98,423,0.74,0.77,0.8,0.0,-0.07135693673450694,0,0,0.5,0.0,0.056968195807486945
99,126,0.51,0.4,0.37,0.0,-0.0197558676017352,0,0,0.5,0.0,0.05677206449801267
