,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,348,0.35,0.96,0.42,0.0,-0.04899581653439122,0,0,0.5,0.0,0.055317818733416416
1,69,0.33,0.58,0.65,0.0,-0.037813237241921316,0,0,0.5,0.0,0.05573641152978279
2,156,0.43,0.54,0.9,0.0,-0.01628466921163374,0,0,0.5,0.0,0.05706019180873598
3,666,0.8,0.99,0.97,0.0,-0.06956796875000004,0,0,0.5,0.0,0.05679469457715583
4,886,0.33,0.54,0.8,0.0,0.018162362412282196,0,0,0.43,0.0,0.04943419246739809
5,1004,0.72,0.16,0.31,0.0,-0.004246541898544565,0,0,0.43,0.0,0.053260250114068014
6,145,0.25,0.46,0.47,0.0,0.005672435930184516,0,0,0.5,0.0,0.059506538223382165
7,699,0.61,0.34,0.69,0.0,-0.0675289775892115,0,0,0.5,0.0,0.05660549941250458
8,425,0.99,0.45,0.97,0.0,-0.07226950063642801,0,0,0.5,0.0,0.05705938019141584
9,406,0.28,0.95,0.01,0.0,-0.06230646021022701,0,0,0.5,0.0,0.056163081338059855
10,848,0.08,0.76,0.73,0.056504722033342114,-0.00306298871774624,3,1,0.14,0.04549151881785118,0.05303477931158241
11,465,0.0,0.64,0.38,-0.052117081781764996,-0.06771833649651005,3,1,0.12,0.05547893859366664,0.05662268358713677
12,682,0.43,0.7,0.07,0.0,-0.06206448462701608,0,0,0.5,0.0,0.05614406998141269
13,569,0.51,0.41,0.24,0.0,-0.06642121259372491,0,0,0.5,0.0,0.056506562958493746
14,476,0.18,0.99,0.15,0.0,-0.0641575687671937,0,0,0.5,0.0,0.05631289738548327
15,798,0.06,0.18,0.37,0.01932986488267896,-0.030950724218657966,3,1,0.14,0.04926246345387584,0.05892949481515709
16,42,0.75,0.85,0.17,0.0,-0.035365912595248905,0,0,0.5,0.0,0.05583030764785825
17,614,0.91,0.13,0.47,0.0,-0.08678988673817956,0,0,0.5,0.0,0.05874627679483706
18,26,0.92,0.28,0.02,0.0,-0.024426213416075204,0,0,0.5,0.0,0.056428983440590656
19,192,0.75,0.12,0.65,0.0,0.01338354407796749,0,0,0.5,0.0,0.06060536683161426
20,409,0.98,0.79,0.34,0.0,-0.06644115440295673,0,0,0.5,0.0,0.05650831990811852
