,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,557,0.45,0.33,0.46,0.0,-0.06876127350754102,0,0,0.5,0.0,0.05734661726520376
1,834,0.48,0.03,0.43,-0.00877848214550725,-0.00413619237492846,3,1,0.0,0.05557530865352447,0.05462153679099524
2,171,0.57,0.53,0.79,0.0,0.011009626146673668,0,0,0.5,0.0,0.0591472334135283
3,1014,0.65,0.17,0.93,0.0,-0.01946981011859994,0,0,0.43,0.0,0.057890774533283715
4,706,0.66,0.46,0.19,0.0,-0.03816434134129176,0,0,0.5,0.0,0.05508357732625191
5,820,0.55,0.18,0.9,0.0,-0.03927891319868415,0,0,0.43,0.0,0.06256448683859761
6,450,0.53,0.42,0.5,0.0,-0.058263138455517116,0,0,0.5,0.0,0.056334621464557276
7,382,0.99,0.72,0.86,0.0,-0.0582429349201411,0,0,0.5,0.0,0.05633290439089471
8,1079,0.85,0.14,0.04,0.04684331115483209,-0.036117745221766695,2,2,0.29,0.034975184879686254,0.0617886608505019
9,964,0.15,0.96,0.62,0.0,0.03333487154420167,0,0,0.43,0.0,0.048313012623126414
10,483,0.24,0.82,0.18,0.0,-0.045290605585449506,0,0,0.5,0.0,0.05542080992968753
11,600,0.7,0.08,0.69,0.06371462574015441,-0.07520944304297639,3,1,0.25,0.042437916670848994,0.058083272264687034
12,576,0.99,0.69,0.41,0.0,-0.032893159730284616,0,0,0.5,0.0,0.05491110005883472
13,113,0.26,0.94,0.47,0.0,-0.01317176180538615,0,0,0.5,0.0,0.05664067912951029
14,991,0.9,0.85,0.61,0.0,0.006932017651213762,0,0,0.43,0.0,0.05248668644100242
15,911,0.89,0.26,0.0,0.0,0.02096982618637644,0,0,0.43,0.0,0.050092759784662856
16,385,0.53,0.43,0.52,0.0,-0.056220173864595324,0,0,0.5,0.0,0.056165564386263085
17,721,0.52,0.39,0.57,0.0,-0.035758202745738155,0,0,0.5,0.0,0.05499667284263638
18,1072,0.9,0.71,0.95,0.0,-0.02825201049008863,0,0,0.43,0.0,0.05990592368733108
19,339,0.89,0.7,0.04,0.0,-0.04410675735192293,0,0,0.5,0.0,0.05535657460638578
20,210,0.52,0.03,0.22,-0.010808704098944744,0.02360987263263392,4,1,0.0,0.06270041201157064,0.06093574525023818
21,763,0.2,0.9,0.12,0.0,0.008688773941818662,0,0,0.38,0.0,0.055872706842800046
22,788,0.93,0.84,0.71,0.0,-0.028971449443121577,0,0,0.43,0.0,0.06007518390158525
23,277,0.52,0.0,0.7,-0.04892876302847904,-0.024021594802725366,3,1,0.0,0.05563848603892499,0.05594688838199673
24,628,0.76,0.51,0.41,0.0,-0.07666690778560215,0,0,0.5,0.0,0.05826149018161153
25,826,0.57,0.12,0.77,0.12285995137816208,-0.026799273480160313,4,1,0.29,0.04527011928997637,0.059566016724278935
26,344,0.38,0.94,0.92,0.0,-0.04729847444531643,0,0,0.5,0.0,0.05553717391548463
27,148,0.1,0.0,0.44,-0.03295161736569063,-0.008719268910974631,4,1,0.0,0.058157819386882,0.057004936970951804
28,443,0.82,0.41,0.06,0.0,-0.06943180391918113,0,0,0.5,0.0,0.05741922469438655
29,315,0.59,0.1,0.66,0.12285995137816208,-0.03734256319836249,4,1,0.38,0.042695799971737496,0.05548237992582808
30,920,0.99,0.33,0.38,0.0,-0.002417877354768172,0,0,0.43,0.0,0.05427695083749966
31,179,0.38,0.34,0.97,0.0,0.010800320711524147,0,0,0.5,0.0,0.059120176001885905
32,1013,0.28,0.14,0.01,0.07180361387957923,-0.022219042576974046,2,2,0.43,0.031126535035064226,0.05851119962443605
33,558,0.55,0.45,0.03,0.0,-0.06636710627436304,0,0,0.5,0.0,0.05709506486039568
34,861,0.02,0.07,0.97,-0.8839107582523406,-0.0023952065936705402,0,468,0.0,0.30289382533245846,0.054272435737954414
35,35,0.84,0.34,0.81,0.0,-0.02814457338838594,0,0,0.5,0.0,0.0557569266979424
36,831,0.49,0.3,0.61,0.0,-0.019513545099383522,0,0,0.43,0.0,0.057900567488558374
37,882,0.45,0.43,0.64,0.0,0.03212126803390403,0,0,0.43,0.0,0.04847298213636717
38,824,0.82,0.18,0.31,0.0,-0.034550581009407444,0,0,0.43,0.0,0.061408015583285916
39,407,0.68,0.07,0.19,0.013956657876853074,-0.06055846651212471,4,1,0.12,0.05628240234595628,0.05653554038326508
40,637,0.3,0.39,0.02,0.0,-0.07704505148056584,0,0,0.5,0.0,0.0583084230665133
41,865,0.97,0.92,0.05,0.0,0.0058026499655334796,0,0,0.43,0.0,0.052695053194714084
42,83,0.29,0.91,0.09,0.0,-0.022480057766893546,0,0,0.5,0.0,0.05602843207082425
43,468,0.95,0.58,0.76,0.0,-0.05638234908803452,0,0,0.5,0.0,0.05617864613934444
44,765,0.35,0.87,0.52,0.0,0.004951533696086141,0,0,0.38,0.0,0.05562001895982818
45,353,0.65,0.87,0.21,0.0,-0.047628865297483225,0,0,0.5,0.0,0.055557212288950136
46,292,0.97,0.75,0.59,0.0,-0.028681652512198785,0,0,0.5,0.0,0.05573521205090385
47,155,0.32,0.31,0.18,0.0,-0.00833899181521458,0,0,0.5,0.0,0.057038148302385516
48,229,0.79,0.19,0.16,0.0,0.0005350669316614987,0,0,0.5,0.0,0.05790504471262807
49,466,0.1,0.65,0.39,0.0,-0.050140525331139774,0,0,0.5,0.0,0.05571773408624084
50,545,0.82,0.54,0.41,0.0,-0.047257183111154566,0,0,0.5,0.0,0.055534687236672625
51,627,0.34,0.03,0.67,-0.012651077898149898,-0.07688025466534265,4,1,0.12,0.05486607321463464,0.05828793447950828
52,173,0.93,0.97,0.99,0.0,0.009685416287700921,0,0,0.5,0.0,0.05897755649206077
53,946,0.39,0.65,0.81,0.0,0.04413899389235065,0,0,0.43,0.0,0.04703917719966198
