,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,173,0.36,0.12,0.61,0.0,0.009685416287700921,0,0,0.5,0.0,0.05897755649206077
1,796,0.69,0.26,0.99,0.0,-0.01441129575506317,0,0,0.43,0.0,0.05677536149484187
2,480,0.16,0.29,0.65,0.0,-0.04946241542342211,0,0,0.5,0.0,0.055672972909036035
3,818,0.42,0.77,0.58,0.0,-0.03662490870352175,0,0,0.43,0.0,0.061912414870417855
4,836,0.03,0.13,0.78,-0.14458085323516534,-0.0011707006562957645,3,48,0.14,0.09487024126203948,0.054029785213251844
5,106,0.48,0.69,0.61,0.0,-0.011262133708893396,0,0,0.5,0.0,0.05679133063352276
6,825,0.48,0.65,0.1,0.0,-0.036730543555553385,0,0,0.43,0.0,0.061938225831685255
7,706,0.55,0.48,0.14,0.0,-0.03816434134129176,0,0,0.5,0.0,0.05508357732625191
8,630,0.88,0.79,0.86,0.0,-0.0774035548843216,0,0,0.5,0.0,0.05835318102152818
9,896,0.69,0.88,0.24,0.0,0.0065168619127118355,0,0,0.43,0.0,0.052563022436518565
10,867,0.14,0.85,0.4,0.0,0.01231396869273027,0,0,0.43,0.0,0.05152503983855596
11,946,0.11,0.08,0.98,-0.7758045637386942,0.04413899389235065,3,191,0.14,0.29396540457033765,0.04703917719966198
12,938,0.43,0.76,0.85,0.0,0.03900355861614102,0,0,0.43,0.0,0.047610369591712685
13,166,0.15,0.8,0.05,0.0,-0.00957951564096815,0,0,0.5,0.0,0.05693102117670133
14,293,0.07,0.99,0.3,0.0,-0.030524648647891617,0,0,0.5,0.0,0.05566603541927632
15,822,0.72,0.3,0.88,0.0,-0.027649912117612696,0,0,0.43,0.0,0.05976474080705059
16,745,0.28,0.33,0.31,0.0,-0.0029837593886458125,0,0,0.38,0.0,0.05519009801129956
17,972,0.26,0.68,0.18,0.0,0.04668835875101873,0,0,0.43,0.0,0.046779443306470506
18,880,0.51,0.37,0.79,0.0,0.028762417593535483,0,0,0.43,0.0,0.04893278983171114
19,393,0.93,0.88,0.77,0.0,-0.0535368338075809,0,0,0.5,0.0,0.055957642800956164
20,779,0.26,0.84,0.21,0.0,-0.02855281291075973,0,0,0.43,0.0,0.05997661828540541
21,153,0.38,0.99,0.59,0.0,-0.009813887890953166,0,0,0.5,0.0,0.0569111753613281
22,383,0.92,0.96,0.42,0.0,-0.05844474655984078,0,0,0.5,0.0,0.05635009652888037
