,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades
0,1074,0.64,0.69,0.76,0.0,0.020757245507208255,0,0
1,933,0.71,0.34,0.1,0.0,0.020757245507208255,0,0
2,1,0.77,0.19,0.9,0.0,0.020757245507208255,0,0
3,465,0.52,0.43,0.99,0.0,0.020757245507208255,0,0
4,1059,0.54,0.27,0.91,0.0,0.020757245507208255,0,0
5,764,0.64,0.65,0.86,0.0,0.020757245507208255,0,0
6,430,0.56,0.75,0.59,0.0,0.020757245507208255,0,0
7,970,0.44,0.46,0.79,0.0,0.020757245507208255,0,0
8,468,0.27,0.69,0.92,0.0,0.020757245507208255,0,0
9,592,0.03,0.5,0.55,-0.02650393473520818,0.020757245507208255,0,0
10,283,0.83,0.61,0.28,0.0,0.020757245507208255,0,0
11,204,0.52,0.16,0.73,0.0,0.020757245507208255,0,0
12,950,0.37,0.97,0.19,0.0,0.020757245507208255,0,0
13,371,0.83,0.68,0.98,0.0,0.020757245507208255,0,0
14,218,0.56,0.48,0.23,0.0,0.020757245507208255,0,0
15,642,0.85,0.46,0.64,0.0,0.020757245507208255,0,0
16,943,0.35,0.04,0.71,0.0,0.020757245507208255,0,0
17,418,0.38,0.83,0.95,0.0,0.020757245507208255,0,0
18,281,0.77,0.5,0.01,0.0,0.020757245507208255,0,0
19,583,0.59,0.69,0.61,0.0,0.020757245507208255,0,0
20,688,0.75,0.74,0.26,0.0,0.020757245507208255,0,0
21,569,0.58,0.25,0.33,0.0,0.020757245507208255,0,0
22,347,0.8,0.15,0.48,0.0,0.020757245507208255,0,0
23,930,0.81,0.79,0.84,0.0,0.020757245507208255,0,0
24,472,0.16,0.41,0.82,0.0,0.020757245507208255,0,0
25,589,0.08,0.52,0.07,-0.7608564573871801,0.020757245507208255,0,0
26,614,0.44,0.05,0.25,0.0,0.020757245507208255,0,0
27,371,0.04,0.08,0.0,-0.9839688342217686,0.020757245507208255,0,0
28,200,0.97,0.18,0.93,0.0,0.020757245507208255,0,0
29,413,0.44,0.67,0.38,0.0,0.020757245507208255,0,0
30,57,0.01,0.78,0.08,-0.019100135379387595,0.020757245507208255,0,0
31,448,0.96,0.62,0.04,0.0,0.020757245507208255,0,0
32,153,0.27,0.1,0.02,0.0,0.020757245507208255,0,0
33,631,0.65,0.95,0.89,0.0,0.020757245507208255,0,0
34,1089,0.35,0.58,0.99,0.0,0.020757245507208255,0,0
35,897,0.9,0.8,0.21,0.0,0.020757245507208255,0,0
36,632,0.76,0.01,0.85,0.0,0.020757245507208255,0,0
37,44,0.02,0.46,0.35,-0.019100135379387595,0.020757245507208255,0,0
38,888,0.9,0.74,0.31,0.0,0.020757245507208255,0,0
39,317,0.99,0.38,0.75,0.0,0.020757245507208255,0,0
40,684,0.26,0.27,0.93,0.0,0.020757245507208255,0,0
41,255,0.94,0.97,0.7,0.0,0.020757245507208255,0,0
42,880,0.36,0.19,0.71,0.0,0.020757245507208255,0,0
43,445,0.34,0.47,0.14,0.0,0.020757245507208255,0,0
44,863,0.83,0.11,0.0,0.0,0.020757245507208255,0,0
45,318,0.84,0.84,0.68,0.0,0.020757245507208255,0,0
46,819,0.26,0.97,0.8,0.0,0.020757245507208255,0,0
47,531,0.04,0.4,0.14,-0.02476403556973561,0.020757245507208255,0,0
48,656,0.64,0.61,0.46,0.0,0.020757245507208255,0,0
49,744,0.64,0.78,0.23,0.0,0.020757245507208255,0,0
50,647,0.96,0.28,0.64,0.0,0.020757245507208255,0,0
51,1084,0.35,0.6,0.74,0.0,0.020757245507208255,0,0
52,734,0.51,0.52,0.15,0.0,0.020757245507208255,0,0
