,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,177,305,-0.31108330878593093,-0.019119589298539852,1,15,0.12,0.06883667161415812,0.05622587016483864
1,977,1002,-0.09693722683276174,-0.019119589298539852,2,8,0.29,0.06134642987197219,0.05549612777744405
2,109,543,-0.10744049850593473,-0.019119589298539852,2,8,0.38,0.051917550284895815,0.057488634684518015
3,323,1013,0.1453630210291632,-0.019119589298539852,3,1,0.57,0.03836416975690867,0.058490675385063765
4,261,483,-0.12644271931386886,-0.019119589298539852,3,8,0.25,0.06553445749893606,0.056244494124394445
5,937,1019,-0.0020707885486821453,-0.019119589298539852,3,6,0.29,0.06138827452231191,0.057608620783623575
6,703,822,0.03185227220996212,-0.019119589298539852,2,4,0.43,0.04608981611194143,0.05978571662388757
7,667,959,0.05512648313901436,-0.019119589298539852,2,4,0.71,0.04670366186073015,0.05428861904250688
8,747,1050,0.05239103065728368,-0.019119589298539852,2,4,0.57,0.04877743718976776,0.06349376545842669
9,51,575,-0.10073791457868408,-0.019119589298539852,1,12,0.38,0.05522935559404435,0.05498040349507481
10,888,1037,0.1527609283172815,-0.019119589298539852,3,4,0.57,0.03901843376244459,0.059683559668412454
11,145,365,-0.18758235692256098,-0.019119589298539852,2,10,0.25,0.05960614505166718,0.05981633098680718
12,396,1009,0.09348470216947824,-0.019119589298539852,3,1,0.57,0.03621522046998273,0.05596171313622292
13,651,814,0.02920858758222833,-0.019119589298539852,2,4,0.43,0.04102103399243354,0.058885337483992835
14,313,1029,0.13386752233654198,-0.019119589298539852,3,1,0.57,0.03714699426914549,0.05790082115366009
15,294,816,0.038025755148793916,-0.019119589298539852,3,4,0.29,0.05243156514991131,0.06209999116120258
16,1052,1063,-0.04585538538597267,-0.019119589298539852,2,10,0.29,0.05437432972893485,0.06273398775559402
17,889,1070,0.1273829911740767,-0.019119589298539852,3,4,0.57,0.03726064172552459,0.05901274933671182
18,884,1034,0.16874059576937706,-0.019119589298539852,3,4,0.71,0.03924956171210951,0.0583391382758974
19,99,499,-0.16370444809004947,-0.019119589298539852,1,10,0.12,0.05779819657452465,0.05478971676657768
20,245,331,-0.23057458699984756,-0.019119589298539852,1,13,0.12,0.06685827422307318,0.05622587016483864
21,761,841,0.0326687448050178,-0.019119589298539852,2,4,0.57,0.04436600134678752,0.054212530138622136
22,755,823,0.056250146340253826,-0.019119589298539852,2,4,0.57,0.04647659062240538,0.06213646692344403
23,399,829,0.08749668380076958,-0.019119589298539852,3,4,0.43,0.036657657766629645,0.05850051103618471
24,649,761,0.14309292546428942,-0.019119589298539852,3,4,0.62,0.0378047649948408,0.05743862583868319
25,800,891,0.11315884312770286,-0.019119589298539852,2,4,0.71,0.04250408547834868,0.054000302836463766
26,991,1012,-0.08366902270293453,-0.019119589298539852,2,8,0.14,0.05775979329579825,0.05809070983568296
27,415,1073,0.11832193409389835,-0.019119589298539852,3,1,0.43,0.036147987719275396,0.05934433981232246
28,468,823,0.09692634282406543,-0.019119589298539852,3,4,0.43,0.042362377802312036,0.06213646692344403
29,346,642,0.04799338303724765,-0.019119589298539852,3,4,0.5,0.05538150818879469,0.06342141342916964
30,118,323,-0.12352590354351523,-0.019119589298539852,1,10,0.25,0.0535612846504989,0.05622587016483864
31,342,1066,0.10215404282038931,-0.019119589298539852,3,1,0.43,0.03595574531292453,0.0618522454317125
32,520,610,-0.016373476783991148,-0.019119589298539852,2,10,0.5,0.023414021253918678,0.06325986935681699
33,399,950,0.07410227213856047,-0.019119589298539852,2,1,0.57,0.037675782712636934,0.053733435567356075
34,707,782,0.04783240954347279,-0.019119589298539852,2,4,0.43,0.04370392394645989,0.06111943771971519
35,33,511,-0.19101293354338833,-0.019119589298539852,1,16,0.25,0.0624897017429508,0.05902968637722933
36,476,684,0.12022756254702771,-0.019119589298539852,3,4,0.5,0.044010539739357195,0.060011093831594586
37,253,282,-0.2510082100562422,-0.019119589298539852,1,17,0.0,0.06208532930388022,0.05622587016483864
38,5,735,-0.1500126928680383,-0.019119589298539852,1,23,0.25,0.055807700335475,0.06160264342869851
39,169,757,-0.05151669124865943,-0.019119589298539852,2,6,0.38,0.05331360575552978,0.059183092012140996
40,425,1079,0.09511438082110768,-0.019119589298539852,3,1,0.43,0.036147312172938074,0.062063571853010216
41,158,336,-0.23478207073824153,-0.019119589298539852,2,11,0.12,0.05912408623378088,0.05622587016483864
42,106,281,-0.128957145538097,-0.019119589298539852,3,13,0.25,0.06458039748479304,0.05622587016483864
43,683,895,0.041509902136239285,-0.019119589298539852,2,4,0.71,0.04861366050753375,0.054045859943664704
44,82,777,-0.01707550590546547,-0.019119589298539852,2,7,0.29,0.05007113451543069,0.05896623116578578
45,929,1069,0.12794566192357726,-0.019119589298539852,3,4,0.43,0.036492259182162215,0.059672850598003334
46,409,1037,0.11912345139915503,-0.019119589298539852,3,1,0.43,0.03618033423514541,0.059683559668412454
47,1060,1085,-0.06074364643913743,-0.019119589298539852,1,8,0.29,0.05101349877955358,0.06106143770809154
48,74,1079,-0.025040653631969834,-0.019119589298539852,2,8,0.29,0.04947113328055358,0.062063571853010216
49,549,630,0.03076987923895702,-0.019119589298539852,3,10,0.5,0.02548436838057783,0.06303784639811837
50,380,612,0.07637311562697358,-0.019119589298539852,3,4,0.5,0.04571804593641776,0.0634384827435336
51,621,963,0.09089999497994294,-0.019119589298539852,2,4,0.71,0.04045851258034083,0.05369826473787999
52,423,856,0.07952586119851945,-0.019119589298539852,2,2,0.43,0.03714926987542899,0.057558588164978386
53,605,667,0.07769962569397348,-0.019119589298539852,2,14,0.5,0.03528713865375474,0.05851254255192525
54,219,683,-0.06948579437276281,-0.019119589298539852,2,4,0.38,0.06441305556873975,0.06097432279332896
55,103,943,-0.0579874246558536,-0.019119589298539852,2,5,0.43,0.05798394576795726,0.05607992012463796
56,391,1040,0.09768512976368848,-0.019119589298539852,3,1,0.43,0.036058125093729,0.060328510836009736
