,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,528,626,0.10251838666290469,-0.019119589298539852,3,10,0.38,0.08027776938705963,0.0626883522730599
1,808,975,0.1452913309789079,-0.019119589298539852,3,4,0.29,0.0698774046464182,0.05588145284059789
2,1062,1064,-0.19747271663521027,-0.019119589298539852,1,30,0.14,0.06633650927939509,0.06273018353018316
3,8,430,-0.34197565559124,-0.019119589298539852,2,36,0.12,0.09760843508721032,0.059774996291727625
4,419,882,0.11147656367343983,-0.019119589298539852,3,2,0.43,0.05845433971718545,0.05368914306685536
5,1036,1050,-0.18562461232499983,-0.019119589298539852,1,10,0.14,0.060909255314494065,0.06349376545842669
6,1043,1052,-0.13542441819151319,-0.019119589298539852,1,12,0.14,0.055389114080088626,0.06573119187876167
7,672,817,0.03384501027003006,-0.019119589298539852,2,4,0.14,0.15532610708717304,0.06225235072511238
8,931,951,-0.023788545281021145,-0.019119589298539852,3,10,0.29,0.0986857778415045,0.05350305788780365
9,775,855,0.08561177272227205,-0.019119589298539852,2,4,0.29,0.10658373618484848,0.05701495090551454
10,780,878,0.10060851106198854,-0.019119589298539852,2,4,0.29,0.09494763323811606,0.05351230635752546
11,400,875,0.08686238338708807,-0.019119589298539852,3,2,0.43,0.0548837301474146,0.053434170654737045
12,641,816,0.10114008390956397,-0.019119589298539852,2,4,0.29,0.10388152229779533,0.06209999116120258
13,385,777,0.1171648687111373,-0.019119589298539852,3,4,0.29,0.1334390126603933,0.05896623116578578
14,313,514,-0.11981903276214811,-0.019119589298539852,3,6,0.25,0.0869801003720941,0.05924622216495309
15,921,1060,0.09121680066554094,-0.019119589298539852,4,4,0.29,0.04464625551357203,0.06333918833215757
16,661,811,0.026785640800144783,-0.019119589298539852,2,4,0.14,0.13760364196043148,0.05885493836827418
17,322,491,-0.13020868965479315,-0.019119589298539852,4,8,0.25,0.08094458997268737,0.05583726132360056
18,608,682,0.10672889140099628,-0.019119589298539852,2,14,0.38,0.060749302858215136,0.060584065060856666
19,674,872,0.10941709506036368,-0.019119589298539852,2,4,0.29,0.13360091076691846,0.05383674243864594
20,245,999,-0.009726958409366437,-0.019119589298539852,1,3,0.57,0.04724427816399831,0.05474608587649166
21,349,869,0.16887754226737517,-0.019119589298539852,3,2,0.43,0.08224721917101434,0.05396336719136601
22,464,779,0.14498097903462281,-0.019119589298539852,3,4,0.29,0.0755980590160929,0.06001385930101179
23,567,1055,0.06503608531986416,-0.019119589298539852,2,1,0.43,0.03676777041332216,0.06414730371357513
24,276,683,0.035931250873587395,-0.019119589298539852,3,4,0.38,0.07086079284534107,0.06097432279332896
25,429,1050,0.09499092146378296,-0.019119589298539852,3,1,0.43,0.036152148708692544,0.06349376545842669
26,152,988,-0.1330364095866562,-0.019119589298539852,2,5,0.43,0.07398177954441124,0.05361040495171527
27,816,1015,0.1964348209391813,-0.019119589298539852,3,4,0.29,0.07331421122130706,0.05831488391678611
28,544,910,0.11505331565892796,-0.019119589298539852,2,2,0.29,0.0932000118907172,0.053455883983516264
29,50,767,-0.08421274199222495,-0.019119589298539852,2,9,0.25,0.06868114896560415,0.05507118285361922
30,718,761,0.05874594311401826,-0.019119589298539852,2,6,0.25,0.1271667796344255,0.05743862583868319
31,494,767,0.23780320033946922,-0.019119589298539852,3,4,0.38,0.10844705940615472,0.05507118285361922
32,466,635,0.147428727584205,-0.019119589298539852,3,6,0.38,0.09349706455212164,0.06263339656878389
33,579,717,0.09321331255630438,-0.019119589298539852,2,8,0.38,0.06521103286704501,0.05500139922926923
34,619,980,0.14530373713212175,-0.019119589298539852,3,4,0.29,0.11720877221112766,0.054356455455781265
35,239,854,-0.043480018849660906,-0.019119589298539852,3,6,0.43,0.09417693718245244,0.05580709700190775
36,484,689,0.220263147647076,-0.019119589298539852,3,4,0.38,0.11512669147618355,0.06087953509385702
37,13,300,-0.3574041694363579,-0.019119589298539852,2,28,0.25,0.121954669256107,0.05622587016483864
38,57,703,-0.10780868272752708,-0.019119589298539852,3,10,0.25,0.09834380559551574,0.05611133015255182
39,523,645,0.19797538529364433,-0.019119589298539852,2,8,0.38,0.127713404824823,0.06318937511164927
40,147,667,-0.181896128490589,-0.019119589298539852,2,6,0.25,0.07088382276906575,0.05851254255192525
41,557,1056,0.058358671812373863,-0.019119589298539852,2,1,0.43,0.03707318394608607,0.06437089785570076
42,1005,1087,0.023167431311595266,-0.019119589298539852,3,4,0.29,0.052485826809745194,0.05951830307802635
43,1035,1083,-0.09121948826092063,-0.019119589298539852,2,6,0.29,0.061531312003419034,0.061282711935812216
44,661,991,0.1121135104159896,-0.019119589298539852,2,4,0.29,0.10697971882202198,0.053995696462538476
45,653,924,0.06553428146055151,-0.019119589298539852,2,4,0.29,0.12224579148700478,0.054530608686632384
46,1037,1051,-0.1477892799041638,-0.019119589298539852,1,10,0.14,0.06014992393125394,0.06456949374159235
47,795,838,0.02749044110194987,-0.019119589298539852,2,6,0.29,0.11256161146162041,0.0547732537294463
48,375,918,0.13729266507010607,-0.019119589298539852,3,2,0.43,0.0765154846945983,0.05441541696558698
49,1084,1084,0.0,-0.019119589298539852,0,0,0.43,0.0,0.06026177809083197
50,101,554,-0.18011083598678757,-0.019119589298539852,3,10,0.25,0.09147373206379497,0.05728768025547742
51,411,881,0.09293575460414538,-0.019119589298539852,3,2,0.43,0.05102635477017316,0.0534112821777337
52,617,903,0.11766198936315542,-0.019119589298539852,2,4,0.29,0.13801112501664373,0.05361980069561192
53,735,993,0.22294807849923282,-0.019119589298539852,3,4,0.43,0.11122941419150816,0.05422316380864415
54,868,1092,0.09695920593098695,-0.019119589298539852,4,8,0.29,0.04392060453073376,0.05686335895852327
55,456,748,0.21651445500677013,-0.019119589298539852,3,4,0.38,0.11230241688892012,0.05556573057907653
56,144,610,-0.17996383840312025,-0.019119589298539852,3,6,0.25,0.07299395148598016,0.06325986935681699
57,503,628,-0.01236137069329235,-0.019119589298539852,2,8,0.38,0.08808921221592338,0.06282636536203962
58,1077,1090,-0.10815483245109969,-0.019119589298539852,2,12,0.29,0.07801348097574452,0.05671461209008694
59,1086,1087,-0.3151577381693501,-0.019119589298539852,1,50,0.14,0.08082549131621446,0.05951830307802635
60,612,889,0.08739339472326746,-0.019119589298539852,2,4,0.29,0.1273357290504644,0.056139694964211194
61,263,672,0.08147951498359962,-0.019119589298539852,3,4,0.38,0.05947206102889249,0.05632455096904754
62,558,993,0.10764450737566,-0.019119589298539852,2,2,0.29,0.09998621053816874,0.05422316380864415
63,816,946,0.10589979149187156,-0.019119589298539852,3,4,0.29,0.06514677267702094,0.05468301462708125
64,170,960,-0.1473038315905042,-0.019119589298539852,2,5,0.57,0.08379577414672498,0.0538207962715958
65,159,529,-0.25803066463917146,-0.019119589298539852,2,8,0.12,0.07643428938090288,0.05957043193445167
66,576,1091,0.061390463034888265,-0.019119589298539852,2,1,0.57,0.036915713241250016,0.0564870176766272
67,85,314,-0.054382644178772144,-0.019119589298539852,3,10,0.38,0.05898400321997304,0.05622587016483864
68,1000,1043,-0.0817608950773141,-0.019119589298539852,2,6,0.14,0.05618969741689019,0.06001931836173988
69,708,779,0.11398143051929299,-0.019119589298539852,2,4,0.14,0.13045831693068236,0.06001385930101179
70,488,918,0.05906662240030647,-0.019119589298539852,3,2,0.43,0.04739945715971202,0.05441541696558698
71,73,669,-0.14387992193651045,-0.019119589298539852,3,10,0.25,0.09071561032327718,0.05573408871647856
72,354,415,-0.02823860737356443,-0.019119589298539852,3,19,0.38,0.1073444915585109,0.05971553503348114
73,171,700,-0.1298797420105411,-0.019119589298539852,3,4,0.25,0.08153872837304112,0.056290177463812444
74,617,648,0.04315500097877423,-0.019119589298539852,2,20,0.38,0.0882587628051411,0.06386344418989848
75,734,868,0.11694293801007105,-0.019119589298539852,2,4,0.29,0.12946711548196566,0.05350476331641309
76,288,739,0.043715161322023244,-0.019119589298539852,3,4,0.38,0.06090890583688544,0.05845671445652211
77,708,818,0.08780215265976121,-0.019119589298539852,2,4,0.14,0.1383178594761668,0.062209587303621965
78,781,989,0.19749301903709338,-0.019119589298539852,3,4,0.57,0.07038361238787699,0.05353925013302146
79,107,595,-0.22277705554992155,-0.019119589298539852,3,10,0.25,0.0923492549568703,0.06040111878769294
80,863,912,0.10833584347541869,-0.019119589298539852,2,4,0.43,0.07304750433641703,0.053416252854216285
81,1092,1095,-0.0908993709296918,-0.019119589298539852,2,24,0.43,0.06580298817023732,0.0567700569067324
82,238,437,-0.3913611457116033,-0.019119589298539852,2,10,0.12,0.08271138333844258,0.060025120632569526
83,669,855,0.09366292933631892,-0.019119589298539852,2,4,0.14,0.14533605806567743,0.05701495090551454
84,751,940,0.1259086757045942,-0.019119589298539852,2,4,0.29,0.1142843542941269,0.054486906222868885
85,427,948,0.10162884755669932,-0.019119589298539852,3,2,0.29,0.068013454227373,0.05377063857344102
86,523,666,0.2831272466798245,-0.019119589298539852,2,8,0.38,0.14868410314488956,0.058355875352360025
87,1076,1085,-0.1515877949609734,-0.019119589298539852,2,16,0.14,0.07912127918585488,0.06106143770809154
88,736,877,0.12180773916003673,-0.019119589298539852,2,4,0.29,0.11033477741352837,0.053448554530055606
89,160,951,-0.11904037039189574,-0.019119589298539852,2,5,0.43,0.07069628032649808,0.05350305788780365
90,876,925,0.21016601221211983,-0.019119589298539852,3,4,0.57,0.07748305560514988,0.054488700818345594
91,547,784,0.08073628002395639,-0.019119589298539852,2,4,0.29,0.06561440152922779,0.06194861178597733
92,857,930,0.0988750320297036,-0.019119589298539852,3,4,0.43,0.053084916562837675,0.05344059461535668
93,153,1058,-0.05037518005607888,-0.019119589298539852,2,3,0.43,0.06548351253853159,0.06374692621916439
94,563,875,0.17659718871945174,-0.019119589298539852,2,4,0.29,0.12990114301229894,0.053434170654737045
95,851,933,0.10122295058679742,-0.019119589298539852,3,4,0.43,0.05388225692202875,0.05341787321238472
96,948,1076,0.08439577713992441,-0.019119589298539852,3,4,0.43,0.04901205328819267,0.06166670362717791
97,878,1017,0.22114861833659916,-0.019119589298539852,3,4,0.43,0.07514056547015965,0.05831973671775218
98,148,678,-0.23446111729276742,-0.019119589298539852,2,8,0.25,0.08482719382982697,0.05845597405027523
99,884,921,0.17707337743667462,-0.019119589298539852,3,6,0.57,0.08279559126185937,0.05427076293058468
