,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,684,700,0.09100524694207324,-0.020262352725916366,3,18,0.5,0.03479177017322814,0.059920966138117315
1,330,1022,0.13895496041154454,-0.020262352725916366,3,1,0.57,0.03859910948688749,0.05841431764688058
2,1048,1056,-0.058582781582530385,-0.020262352725916366,2,16,0.29,0.05446912181155216,0.06406042275443158
3,20,908,-0.021188736673971698,-0.020262352725916366,2,11,0.43,0.04735376669325503,0.053865824573209785
4,397,953,0.08047717968903978,-0.020262352725916366,3,1,0.57,0.036383537722054646,0.05360730494686394
5,988,1084,0.049439560516796766,-0.020262352725916366,2,4,0.43,0.03840327049547291,0.062230740713407444
6,446,599,0.10290305243735132,-0.020262352725916366,4,8,0.5,0.03312097974377535,0.06097340933116909
7,1070,1090,-0.025735009691063904,-0.020262352725916366,2,10,0.43,0.051717175869628186,0.06159448099636615
8,884,914,0.07419020011290822,-0.020262352725916366,2,8,0.71,0.03907464857114652,0.05323116204346725
9,846,1090,0.13112619067446651,-0.020262352725916366,3,4,0.57,0.03835985784070986,0.06159448099636615
10,1075,1086,-0.029397123682288306,-0.020262352725916366,2,12,0.43,0.05187071022645233,0.06242273917953315
11,238,957,0.017540474544588402,-0.020262352725916366,2,3,0.57,0.04263326089339031,0.052826520816471864
12,738,754,0.09026860977337514,-0.020262352725916366,3,16,0.5,0.04025210577761522,0.05554048157736608
13,970,1063,0.09216546801144165,-0.020262352725916366,3,4,0.43,0.03635581196868786,0.0648557425483009
14,366,526,0.050328239730914826,-0.020262352725916366,3,8,0.5,0.04492677072868971,0.06010091460119389
15,160,473,-0.14516869898788842,-0.020262352725916366,2,10,0.38,0.06103247037962314,0.057521806735694736
16,179,212,-0.15473367354680634,-0.020262352725916366,4,25,0.25,0.0630428742304558,0.0567323722122446
17,347,520,-0.06240035285824996,-0.020262352725916366,2,8,0.38,0.056679681699888,0.0593813941989477
18,1014,1092,-0.06015521784128597,-0.020262352725916366,2,6,0.29,0.05930776391104152,0.06135924419198535
19,636,748,0.09036518369697966,-0.020262352725916366,3,6,0.5,0.03393365066525483,0.05803875462785778
20,4,247,0.022971699911881194,-0.020262352725916366,5,45,0.38,0.042101543528942194,0.0567323722122446
21,53,475,-0.11440802437119801,-0.020262352725916366,2,12,0.38,0.05427544217176534,0.058692645435252135
22,215,1093,0.014522274118175194,-0.020262352725916366,2,3,0.43,0.04125892861385977,0.06060200186601633
23,424,780,0.16264985849524738,-0.020262352725916366,4,4,0.43,0.03844331652416107,0.05930614713357693
24,903,1076,0.12304132838863513,-0.020262352725916366,3,4,0.57,0.03659141392141306,0.059876831753035945
25,5,187,0.05201340529043308,-0.020262352725916366,5,45,0.5,0.04054922286051229,0.0567323722122446
26,326,919,0.10133583468398455,-0.020262352725916366,3,1,0.57,0.035863892661187044,0.05267433923382622
27,403,594,0.07018338698360527,-0.020262352725916366,3,6,0.5,0.044399045356746596,0.05905453166083269
28,427,484,-0.085442932431545,-0.020262352725916366,3,16,0.25,0.06183242740843619,0.056259446497745745
29,902,1054,0.1602323563881083,-0.020262352725916366,3,4,0.71,0.040071623399490816,0.0642984998631264
30,905,929,0.10168288025648375,-0.020262352725916366,3,10,0.86,0.039039267488962553,0.053429415994673164
31,150,372,-0.1505890999241175,-0.020262352725916366,2,10,0.25,0.056840051566936764,0.0606413806993077
32,872,1041,0.1759244099149906,-0.020262352725916366,3,4,0.71,0.04058652442960214,0.05844057589242529
33,137,251,-0.07421675752443768,-0.020262352725916366,6,13,0.38,0.05908763603828459,0.0567323722122446
34,438,545,0.05689630579291305,-0.020262352725916366,3,10,0.62,0.04052294050614113,0.059641217501435466
35,149,178,-0.04213584577039764,-0.020262352725916366,4,27,0.38,0.052485234652068585,0.0567323722122446
36,52,479,-0.09587148054547578,-0.020262352725916366,3,12,0.38,0.05420483192483038,0.05731449044274824
37,288,380,-0.17381201465953888,-0.020262352725916366,3,11,0.12,0.06939818332049168,0.060283440228573064
38,375,425,-0.01948052366051778,-0.020262352725916366,4,17,0.38,0.06175804586840246,0.0607125971734137
39,97,442,-0.08852594090889765,-0.020262352725916366,2,10,0.38,0.050281084921164704,0.06010327085139297
40,849,996,0.15370966820963305,-0.020262352725916366,3,4,0.86,0.03846763378371885,0.052898914948983834
41,672,869,0.05499475010999677,-0.020262352725916366,2,4,0.71,0.04232190243785776,0.0542902511002081
42,256,455,-0.18043612337342274,-0.020262352725916366,1,12,0.38,0.06535896610322857,0.05935928728525222
43,426,502,0.08689941447367855,-0.020262352725916366,3,10,0.62,0.04723311381247508,0.05518987138322939
44,1004,1044,-0.05192033947344643,-0.020262352725916366,2,6,0.29,0.054469121372572635,0.05988830991499655
45,115,712,-0.08346793256444074,-0.020262352725916366,1,8,0.38,0.05426061123217692,0.05600348710606072
46,270,819,0.04501535707631055,-0.020262352725916366,3,6,0.43,0.060290790976383755,0.05885112302162086
47,139,943,-0.04775871024032752,-0.020262352725916366,2,5,0.43,0.05392189716334875,0.05274468879170622
48,793,1028,0.09740755052951977,-0.020262352725916366,2,4,0.57,0.03839227833482366,0.057550709019827694
49,833,997,0.14347515365933372,-0.020262352725916366,3,4,0.71,0.037669563187446,0.053028104373347165
50,266,1060,0.13642759604323174,-0.020262352725916366,3,1,0.57,0.03827880597563945,0.06543558530056419
51,786,902,0.06550932501798234,-0.020262352725916366,2,4,0.71,0.04088174973803682,0.05361595812029362
52,102,659,-0.10923938214222395,-0.020262352725916366,1,10,0.38,0.05266774345586852,0.0624281224254279
53,254,983,0.02657418566500347,-0.020262352725916366,1,3,0.57,0.03911280040743316,0.05373952431683031
54,999,1017,-0.07041206508911058,-0.020262352725916366,2,8,0.14,0.05827567427927999,0.05583176590531318
55,48,672,-0.03490874278120304,-0.020262352725916366,1,10,0.38,0.04174369445787937,0.059275676162803916
56,1012,1075,-0.07006451756347776,-0.020262352725916366,2,6,0.14,0.05496567146888709,0.05952434128392465
57,740,824,0.061310342396961204,-0.020262352725916366,2,4,0.57,0.04165750814830607,0.06262256683633574
58,629,826,0.058615579564427644,-0.020262352725916366,2,4,0.43,0.036681090532330166,0.06286293836416137
59,367,1059,0.10802301727225783,-0.020262352725916366,3,1,0.43,0.036012587983806105,0.0662819731561261
60,389,1037,0.10133583468398455,-0.020262352725916366,3,1,0.43,0.035863892661187044,0.05794131158745292
61,490,915,0.061116311386816946,-0.020262352725916366,2,2,0.57,0.0365852619249026,0.052945970293162364
62,14,202,0.04821557877955018,-0.020262352725916366,6,27,0.38,0.052124991497121055,0.0567323722122446
63,714,767,0.03438803201781604,-0.020262352725916366,2,6,0.5,0.0373781033680937,0.05872816084878044
64,947,1026,-0.0202858828313216,-0.020262352725916366,3,6,0.29,0.06328128875102064,0.0576470785272951
65,822,843,0.02683462759656119,-0.020262352725916366,2,8,0.71,0.041597996388961535,0.054523167717487706
66,798,1011,0.07176605085167242,-0.020262352725916366,2,4,0.57,0.04571583249264421,0.05635457437382348
67,702,970,0.02654205695142653,-0.020262352725916366,2,4,0.71,0.04763733928663999,0.052801540012801185
68,265,794,0.025411080892737026,-0.020262352725916366,3,6,0.43,0.06147386606995558,0.059586370492346864
69,702,1029,0.061214837019998525,-0.020262352725916366,2,4,0.57,0.04693490529303217,0.05649068250587368
70,327,1078,0.10214296296130643,-0.020262352725916366,3,1,0.43,0.035873713312228404,0.05874339707017869
71,398,1005,0.08524935142173895,-0.020262352725916366,3,1,0.57,0.03613450283817479,0.05446594377130338
72,674,910,0.034557602823950484,-0.020262352725916366,2,4,0.71,0.045429732642985374,0.05306491953766927
73,158,217,-0.08713569922627684,-0.020262352725916366,4,15,0.25,0.060105124144384986,0.0567323722122446
74,575,1037,0.07776950825089557,-0.020262352725916366,2,2,0.43,0.03673509860913825,0.05794131158745292
75,44,798,-0.029215855907723576,-0.020262352725916366,2,9,0.29,0.04653575333137396,0.05897048548129976
76,26,755,-0.01624639480667578,-0.020262352725916366,2,9,0.5,0.04116033175884277,0.055391992417456654
77,554,1021,0.05830974776399933,-0.020262352725916366,2,2,0.43,0.03665665076638113,0.05794992825724833
78,886,1013,0.17401603871221472,-0.020262352725916366,3,4,0.71,0.040486273923630786,0.056685246822914134
79,450,863,0.08635766887268614,-0.020262352725916366,3,2,0.43,0.03608756089543391,0.05748097557352249
80,67,184,-0.03384843892960854,-0.020262352725916366,3,19,0.25,0.04416126950868668,0.0567323722122446
81,273,559,-0.05404768280393013,-0.020262352725916366,3,4,0.38,0.066608378647518,0.05732637829884371
82,757,1030,0.07758024792605078,-0.020262352725916366,2,4,0.57,0.045688326867557236,0.05686550292392984
83,96,871,-0.046786758390625294,-0.020262352725916366,2,5,0.43,0.05507599636708862,0.05378114225672659
84,270,877,0.08691119384997048,-0.020262352725916366,3,4,0.57,0.036065667126225,0.05314537178632676
